,price,volume
2015-03-27,67.0,
2015-03-28,68.0,
2015-03-29,70.0,
2015-03-30,71.0,
2015-03-31,71.0,
2015-04-01,71.0,
2015-04-02,72.0,
2015-04-03,73.0,
2015-04-04,74.0,
2015-04-05,74.0,
2015-04-06,75.0,
2015-04-07,75.0,
2015-04-08,75.0,
2015-04-09,75.0,
2015-04-10,75.0,
2015-04-11,76.0,
2015-04-12,78.0,
2015-04-13,80.0,
2015-04-14,83.0,
2015-04-15,87.0,
2015-04-16,91.0,
2015-04-17,93.0,
2015-04-18,94.0,
2015-04-19,94.0,
2015-04-20,94.0,
2015-04-21,93.0,
2015-04-22,92.0,
2015-04-23,91.0,
2015-04-24,90.0,
2015-04-25,91.0,
2015-04-26,94.0,
2015-04-27,99.0,
2015-04-28,104.0,
2015-04-29,110.0,
2015-04-30,115.0,
2015-05-01,120.0,
2015-05-02,126.0,
2015-05-03,125.0,
2015-05-04,120.0,
2015-05-05,114.0,
2015-05-06,108.0,
2015-05-07,102.0,
2015-05-08,103.0,
2015-05-09,107.0,
2015-05-10,112.0,
2015-05-11,118.0,
2015-05-12,123.0,
2015-05-13,126.0,
2015-05-14,129.0,
2015-05-15,133.0,
2015-05-16,134.0,
2015-05-17,136.0,
2015-05-18,139.0,
2015-05-19,143.0,
2015-05-20,141.0,
2015-05-21,140.0,
2015-05-22,138.0,
2015-05-23,134.0,
2015-05-24,130.0,
2015-05-25,128.0,
2015-05-26,131.0,
2015-05-27,135.0,
2015-05-28,141.0,
2015-05-29,143.0,
2015-05-30,147.0,
2015-05-31,154.0,
2015-06-01,160.0,
2015-06-02,168.0,
2015-06-03,172.0,
2015-06-04,174.0,
2015-06-05,175.0,
2015-06-06,171.0,
2015-06-07,162.0,
2015-06-08,154.0,
2015-06-09,157.0,
2015-06-10,159.0,
2015-06-11,160.0,
2015-06-12,160.0,
2015-06-13,162.0,
2015-06-14,161.0,
2015-06-15,159.0,
2015-06-16,157.0,
2015-06-17,154.0,
2015-06-18,153.0,
2015-06-19,150.0,
2015-06-20,147.0,
2015-06-21,145.0,
2015-06-22,141.0,
2015-06-23,138.0,
2015-06-24,138.0,
2015-06-25,144.0,
2015-06-26,147.0,
2015-06-27,151.0,
2015-06-28,153.0,
2015-06-29,156.0,
2015-06-30,158.0,
2015-07-01,159.0,
2015-07-02,162.0,
2015-07-03,165.0,
2015-07-04,168.0,
2015-07-05,166.0,
2015-07-06,164.0,
2015-07-07,160.0,
2015-07-08,157.0,
2015-07-09,155.0,
2015-07-10,156.0,
2015-07-11,162.0,
2015-07-12,166.0,
2015-07-13,161.0,
2015-07-14,159.0,
2015-07-15,159.0,
2015-07-16,160.0,
2015-07-17,161.0,
2015-07-18,165.0,
2015-07-19,163.0,
2015-07-20,163.0,
2015-07-21,165.0,
2015-07-22,166.0,
2015-07-23,171.0,
2015-07-24,175.0,
2015-07-25,174.0,
