,price,volume
2015-03-27,2040584.0,
2015-03-28,2057864.0,
2015-03-29,2072694.0,
2015-03-30,2102960.0,
2015-03-31,2178819.0,
2015-04-01,2249543.0,
2015-04-02,2319325.0,
2015-04-03,2360255.0,
2015-04-04,2368405.0,
2015-04-05,2392144.0,
2015-04-06,2394875.0,
2015-04-07,2390741.0,
2015-04-08,2409399.0,
2015-04-09,2389007.0,
2015-04-10,2356691.0,
2015-04-11,2342664.0,
2015-04-12,2336414.0,
2015-04-13,2335558.0,
2015-04-14,2330528.0,
2015-04-15,2317402.0,
2015-04-16,2295263.0,
2015-04-17,2307012.0,
2015-04-18,2304418.0,
2015-04-19,2327891.0,
2015-04-20,2359531.0,
2015-04-21,2380597.0,
2015-04-22,2410379.0,
2015-04-23,2404707.0,
2015-04-24,2414599.0,
2015-04-25,2446213.0,
2015-04-26,2488963.0,
2015-04-27,2571803.0,
2015-04-28,2586193.0,
2015-04-29,2587452.0,
2015-04-30,2577164.0,
2015-05-01,2568771.0,
2015-05-02,2570292.0,
2015-05-03,2559288.0,
2015-05-04,2549194.0,
2015-05-05,2538078.0,
2015-05-06,2530434.0,
2015-05-07,2515488.0,
2015-05-08,2499754.0,
2015-05-09,2494479.0,
2015-05-10,2503266.0,
2015-05-11,2529397.0,
2015-05-12,2602017.0,
2015-05-13,2621285.0,
2015-05-14,2616512.0,
2015-05-15,2590783.0,
2015-05-16,2594518.0,
2015-05-17,2587970.0,
2015-05-18,2590791.0,
2015-05-19,2587453.0,
2015-05-20,2579994.0,
2015-05-21,2568216.0,
2015-05-22,2552299.0,
2015-05-23,2526495.0,
2015-05-24,2523491.0,
2015-05-25,2496289.0,
2015-05-26,2448995.0,
2015-05-27,2395349.0,
2015-05-28,2339494.0,
2015-05-29,2282779.0,
2015-05-30,2253387.0,
2015-05-31,2219137.0,
2015-06-01,2167508.0,
2015-06-02,2090010.0,
2015-06-03,2026629.0,
2015-06-04,2000044.0,
2015-06-05,2067232.0,
2015-06-06,2161367.0,
2015-06-07,2269402.0,
2015-06-08,2325928.0,
2015-06-09,2289084.0,
