,price,volume
2015-03-27,22338.0,
2015-03-28,22501.0,
2015-03-29,22670.0,
2015-03-30,22408.0,
2015-03-31,22309.0,
2015-04-01,22157.0,
2015-04-02,22307.0,
2015-04-03,22065.0,
2015-04-04,21917.0,
2015-04-05,21644.0,
2015-04-06,21601.0,
2015-04-07,20967.0,
2015-04-08,20473.0,
2015-04-09,19998.0,
2015-04-10,19707.0,
2015-04-11,19732.0,
2015-04-12,19373.0,
2015-04-13,19111.0,
2015-04-14,18860.0,
2015-04-15,18224.0,
2015-04-16,17787.0,
2015-04-17,18292.0,
2015-04-18,18887.0,
2015-04-19,19144.0,
2015-04-20,18796.0,
2015-04-21,19025.0,
2015-04-22,18813.0,
2015-04-23,18799.0,
2015-04-24,18517.0,
2015-04-25,18452.0,
2015-04-26,18331.0,
2015-04-27,18237.0,
2015-04-28,18373.0,
2015-04-29,19271.0,
2015-04-30,20235.0,
2015-05-01,21247.0,
2015-05-02,22310.0,
2015-05-03,23426.0,
2015-05-04,24295.0,
2015-05-05,24848.0,
2015-05-06,24579.0,
2015-05-07,23826.0,
2015-05-08,23389.0,
2015-05-09,23157.0,
2015-05-10,22757.0,
2015-05-11,22842.0,
2015-05-12,22401.0,
2015-05-13,22203.0,
2015-05-14,23113.0,
2015-05-15,22967.0,
2015-05-16,22623.0,
2015-05-17,22752.0,
2015-05-18,22746.0,
2015-05-19,22612.0,
2015-05-20,22616.0,
2015-05-21,22563.0,
2015-05-22,22052.0,
2015-05-23,22377.0,
2015-05-24,22528.0,
2015-05-25,22734.0,
2015-05-26,22398.0,
2015-05-27,22201.0,
2015-05-28,22002.0,
2015-05-29,22340.0,
2015-05-30,22273.0,
2015-05-31,22373.0,
2015-06-01,22331.0,
2015-06-02,22347.0,
2015-06-03,22016.0,
2015-06-04,22005.0,
2015-06-05,21980.0,
2015-06-06,21658.0,
2015-06-07,21324.0,
2015-06-08,21188.0,
2015-06-09,21614.0,
2015-06-10,22009.0,
2015-06-11,22524.0,
2015-06-12,22541.0,
2015-06-13,22395.0,
2015-06-14,22174.0,
2015-06-15,22615.0,
2015-06-16,22702.0,
2015-06-17,22502.0,
2015-06-18,22381.0,
2015-06-19,21871.0,
2015-06-20,22176.0,
2015-06-21,21961.0,
2015-06-22,22239.0,
2015-06-23,22370.0,
2015-06-24,22380.0,
2015-06-25,22611.0,
2015-06-26,22668.0,
2015-06-27,22625.0,
2015-06-28,22313.0,
2015-06-29,22464.0,
2015-06-30,22477.0,
2015-07-01,22514.0,
2015-07-02,22941.0,
2015-07-03,23100.0,
2015-07-04,22919.0,
2015-07-05,22601.0,
2015-07-06,22748.0,
2015-07-07,22930.0,
2015-07-08,22889.0,
2015-07-09,23082.0,
2015-07-10,23220.0,
2015-07-11,23052.0,
2015-07-12,23322.0,
2015-07-13,23898.0,
2015-07-14,23550.0,
2015-07-15,23279.0,
2015-07-16,23227.0,
2015-07-17,23455.0,
2015-07-18,23164.0,
2015-07-19,23399.0,
2015-07-20,23455.0,
2015-07-21,23375.0,
2015-07-22,23715.0,
2015-07-23,23782.0,
2015-07-24,24382.0,
2015-07-25,24931.0,
2015-07-26,25468.0,
2015-07-27,26517.0,
2015-07-28,26472.0,
2015-07-29,26172.0,
2015-07-30,26053.0,
2015-07-31,25696.0,
2015-08-01,25903.0,
2015-08-02,26918.0,
2015-08-03,27327.0,
2015-08-04,27910.0,
2015-08-05,28145.0,
2015-08-06,27679.0,
2015-08-07,27637.0,
2015-08-08,27523.0,
2015-08-09,27667.0,
2015-08-10,27270.0,
2015-08-11,27479.0,
2015-08-12,27120.0,
2015-08-13,26697.0,
2015-08-14,27096.0,
2015-08-15,26778.0,
2015-08-16,26916.0,
2015-08-17,27149.0,
2015-08-18,27871.0,
2015-08-19,28220.0,
2015-08-20,28163.0,
2015-08-21,27651.0,
2015-08-22,27337.0,
2015-08-23,27559.0,
2015-08-24,27663.0,
2015-08-25,27642.0,
2015-08-26,27619.0,
2015-08-27,28113.0,
