,price,volume
2015-03-27,2169.0,
2015-03-28,2169.0,
2015-03-29,2169.0,
2015-03-30,2169.0,
2015-03-31,2169.0,
2015-04-01,2169.0,
2015-04-02,2169.0,
2015-04-03,2169.0,
2015-04-04,2169.0,
2015-04-05,2169.0,
2015-04-06,2169.0,
2015-04-07,2169.0,
2015-04-08,2169.0,
2015-04-09,2060.0,
2015-04-10,2060.0,
2015-04-11,2060.0,
2015-04-12,2060.0,
2015-04-13,2060.0,
2015-04-14,2060.0,
2015-04-15,2060.0,
2015-04-16,1963.0,
2015-04-17,1963.0,
2015-04-18,1963.0,
2015-04-19,1963.0,
2015-04-20,1963.0,
2015-04-21,1963.0,
2015-04-22,1963.0,
2015-04-23,1963.0,
2015-04-24,1864.0,
2015-04-25,1864.0,
2015-04-26,1864.0,
2015-04-27,1864.0,
2015-04-28,1864.0,
2015-04-29,1864.0,
2015-04-30,1864.0,
2015-05-01,1770.0,
2015-05-02,1770.0,
2015-05-03,1770.0,
2015-05-04,1770.0,
2015-05-05,1770.0,
2015-05-06,1770.0,
2015-05-07,1682.0,
2015-05-08,1682.0,
2015-05-09,1682.0,
2015-05-10,1682.0,
2015-05-11,1682.0,
2015-05-12,1682.0,
2015-05-13,1682.0,
2015-05-14,1682.0,
2015-05-15,1597.0,
2015-05-16,1597.0,
2015-05-17,1597.0,
2015-05-18,1597.0,
2015-05-19,1597.0,
2015-05-20,1597.0,
2015-05-21,1597.0,
2015-05-22,1517.0,
2015-05-23,1517.0,
2015-05-24,1517.0,
2015-05-25,1517.0,
2015-05-26,1517.0,
2015-05-27,1517.0,
2015-05-28,1443.0,
2015-05-29,1443.0,
2015-05-30,1443.0,
2015-05-31,1443.0,
2015-06-01,1443.0,
2015-06-02,1371.0,
2015-06-03,1371.0,
2015-06-04,1371.0,
2015-06-05,1371.0,
2015-06-06,1371.0,
2015-06-07,1371.0,
2015-06-08,1303.0,
2015-06-09,1303.0,
2015-06-10,1303.0,
2015-06-11,1303.0,
2015-06-12,1303.0,
2015-06-13,1303.0,
2015-06-14,1241.0,
2015-06-15,1241.0,
2015-06-16,1241.0,
2015-06-17,1241.0,
2015-06-18,1241.0,
2015-06-19,1241.0,
2015-06-20,1241.0,
2015-06-21,1196.0,
2015-06-22,1196.0,
2015-06-23,1196.0,
2015-06-24,1196.0,
2015-06-25,1196.0,
2015-06-26,1196.0,
2015-06-27,1137.0,
2015-06-28,1137.0,
2015-06-29,1137.0,
2015-06-30,1137.0,
2015-07-01,1137.0,
2015-07-02,1137.0,
2015-07-03,1137.0,
2015-07-04,1080.0,
2015-07-05,1080.0,
2015-07-06,1080.0,
2015-07-07,1080.0,
2015-07-08,1080.0,
2015-07-09,1080.0,
2015-07-10,1080.0,
2015-07-11,1026.0,
2015-07-12,1026.0,
2015-07-13,1026.0,
2015-07-14,1026.0,
2015-07-15,1026.0,
2015-07-16,1026.0,
2015-07-17,1026.0,
2015-07-18,974.0,
2015-07-19,974.0,
2015-07-20,974.0,
2015-07-21,974.0,
2015-07-22,974.0,
2015-07-23,974.0,
2015-07-24,974.0,
2015-07-25,925.0,
2015-07-26,925.0,
2015-07-27,925.0,
2015-07-28,925.0,
2015-07-29,925.0,
2015-07-30,925.0,
2015-07-31,898.0,
2015-08-01,898.0,
2015-08-02,898.0,
2015-08-03,898.0,
2015-08-04,898.0,
2015-08-05,898.0,
2015-08-06,854.0,
2015-08-07,854.0,
2015-08-08,854.0,
2015-08-09,854.0,
2015-08-10,854.0,
2015-08-11,854.0,
2015-08-12,831.0,
2015-08-13,831.0,
2015-08-14,831.0,
2015-08-15,831.0,
2015-08-16,831.0,
2015-08-17,831.0,
2015-08-18,831.0,
2015-08-19,799.0,
2015-08-20,799.0,
2015-08-21,799.0,
2015-08-22,799.0,
2015-08-23,799.0,
2015-08-24,799.0,
2015-08-25,767.0,
2015-08-26,767.0,
2015-08-27,767.0,
2015-08-28,767.0,
2015-08-29,767.0,
2015-08-30,767.0,
2015-08-31,767.0,
2015-09-01,750.0,
2015-09-02,750.0,
2015-09-03,750.0,
2015-09-04,750.0,
2015-09-05,750.0,
2015-09-06,750.0,
2015-09-07,750.0,
2015-09-08,731.0,
2015-09-09,731.0,
2015-09-10,731.0,
2015-09-11,731.0,
2015-09-12,731.0,
2015-09-13,731.0,
2015-09-14,731.0,
2015-09-15,703.0,
2015-09-16,703.0,
2015-09-17,703.0,
2015-09-18,703.0,
2015-09-19,703.0,
2015-09-20,703.0,
2015-09-21,703.0,
2015-09-22,685.0,
2015-09-23,685.0,
2015-09-24,685.0,
2015-09-25,685.0,
2015-09-26,685.0,
2015-09-28,685.0,
2015-09-29,692.0,
2015-09-30,692.0,
2015-10-01,692.0,
2015-10-06,684.0,
2015-10-07,684.0,
2015-10-08,684.0,
2015-10-09,684.0,
2015-10-10,684.0,
2015-10-11,684.0,
2015-10-12,667.0,
2015-10-13,667.0,
2015-10-14,667.0,
2015-10-15,667.0,
2015-10-16,667.0,
2015-10-17,667.0,
2015-10-18,667.0,
2015-10-19,667.0,
2015-10-20,649.0,
2015-10-21,649.0,
2015-10-23,649.0,
2015-10-24,649.0,
2015-10-25,649.0,
2015-10-26,649.0,
2015-10-27,625.0,
2015-10-28,625.0,
2015-10-29,625.0,
2015-10-30,625.0,
2015-10-31,625.0,
2015-11-01,625.0,
2015-11-02,625.0,
2015-11-03,625.0,
2015-11-04,606.0,
2015-11-05,606.0,
2015-11-06,606.0,
2015-11-07,606.0,
2015-11-08,606.0,
2015-11-09,606.0,
2015-11-10,606.0,
2015-11-11,606.0,
2015-11-12,596.0,
2015-11-13,596.0,
2015-11-14,596.0,
2015-11-15,596.0,
2015-11-16,596.0,
2015-11-17,596.0,
2015-11-18,596.0,
2015-11-19,596.0,
2015-11-20,592.0,
2015-11-21,592.0,
2015-11-22,592.0,
2015-11-23,592.0,
2015-11-24,592.0,
2015-11-25,592.0,
2015-11-26,592.0,
2015-11-27,599.0,
2015-11-28,599.0,
2015-11-29,599.0,
2015-11-30,599.0,
2015-12-01,599.0,
2015-12-02,599.0,
2015-12-03,590.0,
2015-12-04,590.0,
2015-12-05,590.0,
2015-12-06,590.0,
2015-12-07,590.0,
2015-12-08,590.0,
2015-12-09,583.0,
2015-12-10,583.0,
2015-12-11,583.0,
2015-12-12,583.0,
2015-12-13,583.0,
2015-12-14,583.0,
2015-12-15,595.0,
2015-12-16,595.0,
2015-12-17,595.0,
2015-12-18,595.0,
2015-12-19,595.0,
2015-12-20,595.0,
2015-12-21,595.0,
2015-12-22,595.0,
2015-12-23,595.0,
2015-12-24,595.0,
2015-12-25,595.0,
2015-12-26,595.0,
2015-12-27,595.0,
2015-12-28,595.0,
2015-12-29,595.0,
2015-12-30,609.0,
2015-12-31,609.0,
2016-01-01,609.0,
2016-01-02,609.0,
2016-01-03,609.0,
2016-01-04,612.0,
2016-01-05,612.0,
2016-01-06,612.0,
2016-01-07,612.0,
2016-01-08,612.0,
2016-01-09,600.0,
2016-01-10,600.0,
2016-01-11,600.0,
2016-01-12,600.0,
2016-01-13,600.0,
2016-01-14,605.0,
2016-01-15,605.0,
2016-01-16,605.0,
2016-01-17,605.0,
2016-01-18,591.0,
2016-01-19,591.0,
2016-01-20,591.0,
2016-01-21,591.0,
2016-01-22,591.0,
2016-01-23,594.0,
2016-01-24,594.0,
2016-01-25,594.0,
2016-01-26,594.0,
2016-01-27,594.0,
2016-01-28,605.0,
2016-01-29,605.0,
2016-01-30,605.0,
2016-01-31,605.0,
2016-02-01,605.0,
2016-02-02,620.0,
2016-02-03,620.0,
2016-02-04,620.0,
2016-02-05,620.0,
2016-02-06,620.0,
2016-02-07,628.0,
2016-02-08,628.0,
2016-02-09,628.0,
2016-02-10,628.0,
2016-02-11,628.0,
2016-02-12,645.0,
2016-02-13,645.0,
2016-02-14,645.0,
2016-02-15,645.0,
2016-02-16,645.0,
2016-02-17,646.0,
2016-02-18,646.0,
2016-02-19,646.0,
2016-02-20,646.0,
2016-02-21,646.0,
2016-02-22,626.0,
2016-02-23,626.0,
