,price,volume
2015-03-05,49.0,
2015-03-06,49.0,
2015-03-07,46.0,
2015-03-08,43.0,
2015-03-09,40.0,
2015-03-10,40.0,
2015-03-11,38.0,
2015-03-12,38.0,
2015-03-13,36.0,
2015-03-14,36.0,
2015-03-15,34.0,
2015-03-16,34.0,
2015-03-17,32.0,
2015-03-18,32.0,
2015-03-19,30.0,
2015-03-20,30.0,
2015-03-21,28.0,
2015-03-22,28.0,
2015-03-23,26.0,
2015-03-24,26.0,
2015-03-25,24.0,
2015-03-26,24.0,
2015-03-27,22.0,
2015-03-28,22.0,
2015-03-29,20.0,
2015-03-30,20.0,
2015-03-31,19.0,
2015-04-01,19.0,
2015-04-02,18.0,
2015-04-03,18.0,
2015-04-04,17.0,
2015-04-05,17.0,
2015-04-06,16.0,
2015-04-07,16.0,
2015-04-08,15.0,
2015-04-09,15.0,
2015-04-10,14.0,
2015-04-11,14.0,
2015-04-12,13.0,
2015-04-13,13.0,
2015-04-14,12.0,
2015-04-15,12.0,
2015-04-16,11.0,
2015-04-17,11.0,
2015-04-18,10.0,
2015-04-19,10.0,
2015-04-20,9.0,
2015-04-21,9.0,
2015-04-22,9.0,
2015-04-23,8.0,
2015-04-24,8.0,
2015-04-25,7.0,
2015-04-26,7.0,
2015-04-27,7.0,
2015-04-28,7.0,
2015-04-29,7.0,
2015-04-30,7.0,
2015-05-01,7.0,
2015-05-02,7.0,
2015-05-03,7.0,
2015-05-04,7.0,
2015-05-05,7.0,
2015-05-06,7.0,
2015-05-07,7.0,
2015-05-08,7.0,
2015-05-09,7.0,
2015-05-10,7.0,
2015-05-11,7.0,
2015-05-12,7.0,
2015-05-13,7.0,
2015-05-14,6.0,
2015-05-15,6.0,
2015-05-16,6.0,
2015-05-17,6.0,
2015-05-18,6.0,
2015-05-19,7.0,
2015-05-20,7.0,
2015-05-21,7.0,
2015-05-22,7.0,
2015-05-23,6.0,
2015-05-24,6.0,
2015-05-25,6.0,
2015-05-26,6.0,
2015-05-27,6.0,
2015-05-28,6.0,
2015-05-29,6.0,
2015-05-30,6.0,
2015-05-31,6.0,
2015-06-01,6.0,
2015-06-02,6.0,
2015-06-03,6.0,
2015-06-04,6.0,
2015-06-05,6.0,
2015-06-06,6.0,
2015-06-07,6.0,
2015-06-08,6.0,
2015-06-09,6.0,
2015-06-10,6.0,
2015-06-11,6.0,
2015-06-12,6.0,
2015-06-13,6.0,
2015-06-14,6.0,
2015-06-15,7.0,
2015-06-16,7.0,
2015-06-17,7.0,
2015-06-18,7.0,
2015-06-19,7.0,
2015-06-20,7.0,
2015-06-21,7.0,
2015-06-22,7.0,
2015-06-23,7.0,
2015-06-24,7.0,
2015-06-25,7.0,
2015-06-26,7.0,
2015-06-27,7.0,
2015-06-28,7.0,
2015-06-29,7.0,
2015-06-30,7.0,
2015-07-01,7.0,
2015-07-02,7.0,
2015-07-03,6.0,
2015-07-04,6.0,
2015-07-05,6.0,
2015-07-06,6.0,
2015-07-07,6.0,
2015-07-08,6.0,
2015-07-09,6.0,
2015-07-10,6.0,
2015-07-11,6.0,
2015-07-12,6.0,
2015-07-13,6.0,
2015-07-14,6.0,
2015-07-15,6.0,
2015-07-16,6.0,
2015-07-17,6.0,
2015-07-18,6.0,
2015-07-19,6.0,
2015-07-20,5.0,
2015-07-21,5.0,
2015-07-22,5.0,
2015-07-23,5.0,
2015-07-24,5.0,
2015-07-25,5.0,
2015-07-26,5.0,
2015-07-27,5.0,
2015-07-28,5.0,
2015-07-29,5.0,
2015-07-30,5.0,
2015-07-31,5.0,
2015-08-01,5.0,
2015-08-02,5.0,
2015-08-03,5.0,
2015-08-04,5.0,
2015-08-05,5.0,
2015-08-06,5.0,
2015-08-07,5.0,
2015-08-08,5.0,
2015-08-09,5.0,
2015-08-10,5.0,
2015-08-11,5.0,
2015-08-12,5.0,
2015-08-13,5.0,
2015-08-14,5.0,
2015-08-15,5.0,
2015-08-16,5.0,
2015-08-17,5.0,
2015-08-18,5.0,
2015-08-19,5.0,
2015-08-20,5.0,
2015-08-21,5.0,
2015-08-22,5.0,
2015-08-23,5.0,
2015-08-24,5.0,
2015-08-25,5.0,
2015-08-26,5.0,
2015-08-27,5.0,
2015-08-28,5.0,
2015-08-29,5.0,
2015-08-30,5.0,
2015-08-31,5.0,
2015-09-01,5.0,
2015-09-03,5.0,
2015-09-08,5.0,
2015-09-09,5.0,
2015-09-11,6.0,
