,price,volume
2015-03-27,683.0,
2015-03-28,665.0,
2015-03-29,682.0,
2015-03-30,673.0,
2015-03-31,672.0,
2015-04-01,652.0,
2015-04-02,626.0,
2015-04-03,621.0,
2015-04-04,639.0,
2015-04-05,651.0,
2015-04-06,674.0,
2015-04-07,675.0,
2015-04-08,654.0,
2015-04-09,642.0,
2015-04-10,647.0,
2015-04-11,668.0,
2015-04-12,644.0,
2015-04-13,631.0,
2015-04-14,635.0,
2015-04-15,644.0,
2015-04-16,635.0,
2015-04-17,608.0,
2015-04-18,590.0,
2015-04-19,585.0,
2015-04-20,607.0,
2015-04-21,625.0,
2015-04-22,626.0,
2015-04-23,612.0,
2015-04-24,615.0,
2015-04-25,621.0,
2015-04-26,608.0,
2015-04-27,605.0,
2015-04-28,607.0,
2015-04-29,617.0,
2015-04-30,626.0,
2015-05-01,621.0,
2015-05-02,628.0,
2015-05-03,651.0,
2015-05-04,629.0,
2015-05-05,620.0,
2015-05-06,607.0,
2015-05-07,589.0,
2015-05-08,601.0,
2015-05-09,592.0,
2015-05-10,575.0,
2015-05-11,569.0,
2015-05-12,563.0,
2015-05-13,563.0,
2015-05-14,577.0,
2015-05-15,573.0,
2015-05-16,584.0,
2015-05-17,598.0,
2015-05-18,602.0,
2015-05-19,618.0,
2015-05-20,638.0,
2015-05-21,608.0,
2015-05-22,593.0,
2015-05-23,577.0,
2015-05-24,586.0,
2015-05-25,577.0,
2015-05-26,572.0,
2015-05-27,570.0,
2015-05-28,567.0,
2015-05-29,577.0,
2015-05-30,582.0,
2015-05-31,597.0,
2015-06-01,622.0,
2015-06-02,625.0,
2015-06-03,605.0,
2015-06-04,603.0,
2015-06-05,601.0,
2015-06-06,592.0,
2015-06-07,578.0,
2015-06-08,583.0,
2015-06-09,594.0,
2015-06-10,609.0,
2015-06-11,610.0,
2015-06-12,603.0,
2015-06-13,624.0,
2015-06-14,646.0,
2015-06-15,671.0,
2015-06-16,694.0,
2015-06-17,674.0,
2015-06-18,651.0,
2015-06-19,671.0,
2015-06-20,694.0,
2015-06-21,718.0,
2015-06-22,736.0,
2015-06-23,760.0,
2015-06-24,762.0,
2015-06-25,748.0,
2015-06-26,744.0,
2015-06-27,720.0,
2015-06-28,687.0,
2015-06-29,655.0,
2015-06-30,627.0,
2015-07-01,626.0,
2015-07-02,630.0,
2015-07-03,656.0,
2015-07-04,680.0,
2015-07-05,713.0,
2015-07-06,748.0,
2015-07-07,756.0,
2015-07-08,726.0,
2015-07-09,714.0,
2015-07-10,709.0,
2015-07-11,696.0,
2015-07-12,662.0,
2015-07-13,638.0,
2015-07-14,616.0,
2015-07-15,620.0,
2015-07-16,600.0,
2015-07-17,601.0,
2015-07-18,614.0,
2015-07-19,598.0,
2015-07-20,600.0,
2015-07-21,605.0,
2015-07-22,627.0,
2015-07-23,602.0,
2015-07-24,589.0,
2015-07-25,576.0,
2015-07-26,579.0,
2015-07-27,577.0,
2015-07-28,583.0,
