,price,volume
2015-03-27,1468.0,
2015-03-28,1457.0,
2015-03-29,1421.0,
2015-03-30,1377.0,
2015-03-31,1357.0,
2015-04-01,1297.0,
2015-04-02,1232.0,
2015-04-03,1179.0,
2015-04-04,1135.0,
2015-04-05,1082.0,
2015-04-06,1027.0,
2015-04-07,994.0,
2015-04-08,978.0,
2015-04-09,957.0,
2015-04-10,912.0,
2015-04-11,916.0,
2015-04-12,880.0,
2015-04-13,870.0,
2015-04-14,907.0,
2015-04-15,938.0,
2015-04-16,939.0,
2015-04-17,930.0,
2015-04-18,923.0,
2015-04-19,922.0,
2015-04-20,910.0,
2015-04-21,905.0,
2015-04-22,888.0,
2015-04-23,876.0,
2015-04-24,855.0,
2015-04-25,854.0,
2015-04-26,866.0,
2015-04-27,904.0,
2015-04-28,950.0,
2015-04-29,998.0,
2015-04-30,1048.0,
2015-05-01,1095.0,
2015-05-02,1145.0,
2015-05-03,1195.0,
2015-05-04,1162.0,
2015-05-05,1144.0,
2015-05-06,1138.0,
2015-05-07,1098.0,
2015-05-08,1086.0,
2015-05-09,1077.0,
2015-05-10,1106.0,
2015-05-11,1160.0,
2015-05-12,1187.0,
2015-05-13,1234.0,
2015-05-14,1288.0,
2015-05-15,1344.0,
2015-05-16,1379.0,
2015-05-17,1343.0,
2015-05-18,1297.0,
2015-05-19,1239.0,
2015-05-20,1265.0,
2015-05-21,1274.0,
2015-05-22,1303.0,
2015-05-23,1329.0,
2015-05-24,1351.0,
2015-05-25,1348.0,
2015-05-26,1293.0,
2015-05-27,1230.0,
2015-05-28,1173.0,
2015-05-29,1116.0,
2015-05-30,1151.0,
2015-05-31,1132.0,
2015-06-01,1089.0,
2015-06-02,1058.0,
2015-06-03,1065.0,
2015-06-04,1084.0,
2015-06-05,1119.0,
2015-06-06,1114.0,
2015-06-07,1088.0,
2015-06-08,1063.0,
2015-06-09,1047.0,
2015-06-10,1064.0,
2015-06-11,1091.0,
2015-06-12,1111.0,
2015-06-13,1090.0,
2015-06-14,1116.0,
2015-06-15,1166.0,
2015-06-16,1205.0,
2015-06-17,1176.0,
2015-06-18,1128.0,
2015-06-19,1151.0,
2015-06-20,1148.0,
2015-06-21,1133.0,
2015-06-22,1156.0,
2015-06-23,1137.0,
2015-06-24,1106.0,
2015-06-25,1100.0,
2015-06-26,1132.0,
2015-06-27,1171.0,
2015-06-28,1183.0,
2015-06-29,1160.0,
2015-06-30,1134.0,
2015-07-01,1120.0,
2015-07-02,1118.0,
2015-07-03,1102.0,
2015-07-04,1116.0,
2015-07-05,1136.0,
2015-07-06,1138.0,
2015-07-07,1140.0,
2015-07-08,1160.0,
2015-07-09,1158.0,
2015-07-10,1146.0,
2015-07-11,1151.0,
2015-07-12,1158.0,
2015-07-13,1131.0,
2015-07-14,1108.0,
2015-07-15,1081.0,
2015-07-16,1079.0,
2015-07-17,1089.0,
2015-07-18,1114.0,
2015-07-19,1088.0,
2015-07-20,1076.0,
2015-07-21,1099.0,
2015-07-22,1084.0,
2015-07-23,1044.0,
2015-07-24,1015.0,
2015-07-25,1000.0,
2015-07-26,985.0,
2015-07-27,998.0,
2015-07-28,1039.0,
2015-07-29,1012.0,
2015-07-30,1035.0,
2015-07-31,1068.0,
2015-08-01,1037.0,
2015-08-02,1029.0,
2015-08-03,1013.0,
2015-08-04,1012.0,
2015-08-05,1019.0,
2015-08-06,1015.0,
2015-08-07,1016.0,
2015-08-08,1039.0,
2015-08-09,1033.0,
2015-08-10,1028.0,
2015-08-11,1018.0,
2015-08-12,1034.0,
2015-08-13,1026.0,
2015-08-14,1024.0,
2015-08-15,1031.0,
2015-08-16,1081.0,
2015-08-17,1127.0,
2015-08-18,1116.0,
2015-08-19,1078.0,
2015-08-20,1052.0,
2015-08-21,1023.0,
2015-08-22,1025.0,
2015-08-23,1043.0,
2015-08-24,1056.0,
2015-08-25,1079.0,
2015-08-26,1128.0,
2015-08-27,1178.0,
2015-08-28,1127.0,
2015-08-29,1098.0,
2015-08-30,1061.0,
2015-08-31,1063.0,
2015-09-01,1043.0,
2015-09-02,1008.0,
2015-09-03,1022.0,
2015-09-04,996.0,
2015-09-05,982.0,
2015-09-06,984.0,
2015-09-07,984.0,
2015-09-08,985.0,
2015-09-09,1022.0,
2015-09-10,1032.0,
2015-09-11,1024.0,
2015-09-12,1031.0,
2015-09-13,1017.0,
2015-09-14,1013.0,
2015-09-15,1004.0,
2015-09-16,999.0,
2015-09-17,995.0,
2015-09-18,1006.0,
2015-09-19,1035.0,
2015-09-20,1077.0,
2015-09-21,1125.0,
2015-09-22,1133.0,
2015-09-23,1120.0,
2015-09-24,1111.0,
2015-09-25,1094.0,
2015-09-26,1061.0,
2015-09-28,1026.0,
2015-09-29,1001.0,
2015-09-30,992.0,
2015-10-01,994.0,
2015-10-06,1020.0,
2015-10-07,1036.0,
2015-10-08,1021.0,
2015-10-09,1018.0,
2015-10-10,1025.0,
2015-10-11,1016.0,
2015-10-12,1009.0,
2015-10-13,1005.0,
2015-10-14,998.0,
2015-10-15,982.0,
2015-10-16,981.0,
2015-10-17,965.0,
2015-10-18,962.0,
2015-10-19,946.0,
2015-10-20,913.0,
2015-10-21,895.0,
2015-10-23,869.0,
2015-10-24,877.0,
2015-10-25,907.0,
2015-10-26,908.0,
2015-10-27,903.0,
2015-10-28,892.0,
2015-10-30,867.0,
2015-10-31,853.0,
2015-11-01,830.0,
2015-11-02,848.0,
2015-11-03,868.0,
2015-11-04,882.0,
2015-11-05,884.0,
2015-11-06,862.0,
2015-11-07,854.0,
2015-11-08,868.0,
2015-11-09,848.0,
2015-11-10,839.0,
2015-11-11,829.0,
2015-11-12,851.0,
2015-11-13,862.0,
2015-11-14,851.0,
2015-11-15,875.0,
2015-11-16,902.0,
2015-11-17,944.0,
2015-11-18,937.0,
2015-11-19,918.0,
2015-11-20,886.0,
2015-11-21,883.0,
2015-11-22,870.0,
2015-11-23,862.0,
2015-11-24,856.0,
2015-11-25,889.0,
2015-11-26,916.0,
2015-11-27,951.0,
2015-11-28,977.0,
2015-11-29,1022.0,
2015-11-30,1033.0,
2015-12-01,1056.0,
2015-12-02,1021.0,
2015-12-03,1036.0,
2015-12-04,1025.0,
2015-12-05,1012.0,
2015-12-06,998.0,
2015-12-07,992.0,
2015-12-08,991.0,
2015-12-09,976.0,
2015-12-10,988.0,
2015-12-11,991.0,
2015-12-12,981.0,
2015-12-13,959.0,
2015-12-14,943.0,
2015-12-15,965.0,
2015-12-16,984.0,
2015-12-17,1031.0,
2015-12-18,1082.0,
2015-12-19,1122.0,
2015-12-20,1095.0,
2015-12-21,1077.0,
2015-12-22,1067.0,
2015-12-23,1041.0,
2015-12-24,992.0,
2015-12-25,981.0,
2015-12-26,980.0,
2015-12-27,982.0,
2015-12-28,1010.0,
2015-12-29,1022.0,
2015-12-30,1011.0,
2015-12-31,988.0,
2016-01-01,967.0,
2016-01-02,952.0,
2016-01-03,912.0,
2016-01-04,899.0,
2016-01-05,896.0,
2016-01-06,927.0,
2016-01-07,909.0,
2016-01-08,891.0,
2016-01-09,913.0,
2016-01-10,952.0,
2016-01-11,989.0,
2016-01-12,1032.0,
2016-01-13,1057.0,
2016-01-14,1039.0,
2016-01-15,1020.0,
2016-01-16,1038.0,
2016-01-17,1036.0,
2016-01-18,1021.0,
2016-01-19,1001.0,
2016-01-20,985.0,
2016-01-21,993.0,
