,price,volume
2017-01-05,15566177.0,
2017-01-06,16260365.0,
2017-01-07,17008838.0,
2017-01-08,17859280.0,
2017-01-09,18752244.0,
2017-01-10,19689857.0,
2017-01-11,20674350.0,
2017-01-12,21708068.0,
2017-01-13,22793472.0,
2017-01-14,23933146.0,
2017-01-15,25129804.0,
2017-01-16,26386295.0,
2017-01-17,27705610.0,
2017-01-18,29090891.0,
2017-01-19,30545436.0,
2017-01-20,32072708.0,
2017-01-21,33676344.0,
2017-01-22,35360162.0,
2017-01-23,37128171.0,
2017-01-24,38984580.0,
2017-01-28,32815136.0,
2017-01-29,31463517.0,
2017-01-30,32474737.0,
2017-01-31,33968852.0,
2017-02-01,34002767.0,
2017-02-02,32540862.0,
2017-02-03,32731359.0,
2017-02-04,33277236.0,
2017-02-05,34941098.0,
2017-02-06,36688153.0,
2017-02-07,37574694.0,
2017-02-08,37266730.0,
2017-02-09,37446234.0,
2017-02-10,37659300.0,
2017-02-11,37283221.0,
2017-02-12,36292584.0,
2017-02-13,35202391.0,
2017-02-14,33544343.0,
2017-02-15,32833668.0,
2017-02-16,33173826.0,
2017-02-17,32204168.0,
2017-02-19,33664996.0,
2017-02-20,34482785.0,
2017-02-21,33586899.0,
2017-02-22,33218641.0,
2017-02-23,33355282.0,
2017-02-24,33421249.0,
2017-02-25,32854544.0,
2017-02-26,33663447.0,
2017-02-27,34137415.0,
2017-02-28,34186934.0,
2017-03-01,34691408.0,
2017-03-02,34843141.0,
2017-03-03,35471971.0,
2017-03-04,36602854.0,
2017-03-05,36112317.0,
2017-03-06,36131812.0,
2017-03-07,36055503.0,
2017-03-08,35592038.0,
2017-03-09,35698044.0,
2017-03-10,36087196.0,
2017-03-11,36131900.0,
2017-03-12,37269360.0,
2017-03-13,37377778.0,
2017-03-14,37107158.0,
2017-03-15,35518674.0,
2017-03-16,33743369.0,
2017-03-17,32079979.0,
2017-03-18,30777204.0,
2017-03-19,29654350.0,
2017-03-20,28359818.0,
2017-03-21,27003152.0,
2017-03-22,26558144.0,
2017-03-23,26879210.0,
2017-03-24,28146570.0,
2017-03-25,29551793.0,
2017-03-26,30737943.0,
2017-03-27,31024745.0,
2017-03-28,31942089.0,
2017-03-29,31839723.0,
2017-03-30,31323067.0,
2017-03-31,30222463.0,
2017-04-01,29151497.0,
2017-04-02,29355040.0,
2017-04-03,29466561.0,
2017-04-04,29953478.0,
2017-04-05,30423869.0,
2017-04-13,34218225.0,
2017-04-14,34569240.0,
2017-04-15,33485531.0,
2017-04-16,32045930.0,
2017-04-17,31773001.0,
2017-04-18,31712778.0,
2017-04-19,31624265.0,
2017-04-20,31282928.0,
2017-04-21,30864570.0,
2017-04-22,30433798.0,
2017-04-23,30687326.0,
2017-04-24,31261911.0,
2017-04-25,31173193.0,
2017-04-26,31588675.0,
2017-04-27,31535578.0,
2017-04-28,31990534.0,
2017-04-29,31678817.0,
2017-04-30,31804587.0,
2017-05-01,32068745.0,
2017-05-02,32187922.0,
2017-05-03,31950542.0,
2017-05-04,31470731.0,
2017-05-05,31281557.0,
2017-05-06,31394858.0,
2017-05-07,31367740.0,
2017-05-08,31328148.0,
2017-05-09,31495527.0,
2017-05-10,31794721.0,
2017-05-11,32192402.0,
2017-05-12,32526440.0,
2017-05-13,32148181.0,
2017-05-14,31929955.0,
2017-05-15,31835577.0,
2017-05-16,31600393.0,
2017-05-17,31555601.0,
2017-05-18,31467064.0,
2017-05-19,31399379.0,
2017-05-20,31343163.0,
2017-05-21,31300883.0,
2017-05-22,31152177.0,
2017-05-23,31057514.0,
2017-05-24,30928260.0,
2017-05-25,30833211.0,
2017-05-26,30685593.0,
2017-05-27,29613242.0,
2017-05-28,28145059.0,
2017-05-29,27695395.0,
2017-05-30,28587319.0,
2017-05-31,29957946.0,
2017-06-01,29668957.0,
2017-06-02,28312265.0,
2017-06-03,26896651.0,
2017-06-04,26490625.0,
2017-06-05,26572439.0,
2017-06-06,26799017.0,
2017-06-07,27476022.0,
2017-06-08,28587098.0,
2017-06-09,28218111.0,
2017-06-10,26955441.0,
2017-06-11,26266373.0,
2017-06-12,25036263.0,
2017-06-13,23785681.0,
2017-06-14,23013392.0,
2017-06-15,24164062.0,
2017-06-16,24953620.0,
2017-06-17,25481662.0,
2017-06-18,25534174.0,
2017-06-19,25384828.0,
2017-06-20,25346347.0,
2017-06-21,25066124.0,
2017-06-22,24609721.0,
2017-06-23,24505580.0,
2017-06-24,24559989.0,
2017-06-25,25130270.0,
2017-06-26,26302007.0,
2017-06-27,26598385.0,
2017-06-28,25605611.0,
2017-06-29,25590419.0,
2017-06-30,25985679.0,
2017-07-01,25426537.0,
2017-07-02,25637890.0,
2017-07-03,25736107.0,
2017-07-04,25771497.0,
2017-07-05,25969029.0,
2017-07-06,25988733.0,
2017-07-07,25493365.0,
2017-07-08,24995600.0,
2017-07-09,25142281.0,
2017-07-14,23567374.0,
2017-07-15,23915579.0,
2017-07-16,24468449.0,
2017-07-17,24854459.0,
2017-07-18,25105318.0,
2017-07-19,24976720.0,
2017-07-20,25094204.0,
2017-07-21,25703060.0,
2017-07-22,25516544.0,
2017-07-23,25386740.0,
2017-07-24,25913229.0,
2017-07-25,26627975.0,
2017-07-26,26428338.0,
2017-07-27,25999446.0,
2017-07-28,25718981.0,
2017-07-29,26028908.0,
2017-07-30,26204064.0,
2017-07-31,25893296.0,
2017-08-01,25997266.0,
2017-08-02,25729982.0,
2017-08-03,25461132.0,
2017-08-04,25297886.0,
2017-08-05,25235017.0,
2017-08-06,25435285.0,
2017-08-07,25419510.0,
2017-08-10,25878001.0,
2017-08-11,26472624.0,
2017-08-12,26208826.0,
2017-08-13,26995877.0,
2017-08-14,26962965.0,
2017-08-15,26353353.0,
2017-08-16,26184584.0,
2017-08-17,26345495.0,
2017-08-18,26353257.0,
2017-08-19,25966576.0,
2017-08-20,25735938.0,
2017-08-21,25801129.0,
2017-08-22,25984597.0,
2017-08-23,26169807.0,
2017-08-24,25924227.0,
2017-08-25,25998921.0,
2017-08-26,26054799.0,
2017-08-27,26460680.0,
2017-08-28,27138233.0,
2017-08-29,27447485.0,
2017-08-30,28774248.0,
2017-08-31,30210338.0,
2017-09-01,31153762.0,
2017-09-02,31198093.0,
2017-09-04,31074334.0,
2017-09-05,31134629.0,
2017-09-06,31147836.0,
2017-09-07,32148859.0,
2017-09-08,30829489.0,
2017-09-09,29288014.0,
2017-09-10,27823613.0,
2017-09-11,26432432.0,
2017-09-12,25110810.0,
2017-09-13,24089519.0,
2017-09-14,23830085.0,
2017-09-15,23873818.0,
2017-09-16,23906599.0,
2017-09-17,24055411.0,
2017-09-18,24346057.0,
2017-09-19,24525803.0,
2017-09-20,25087045.0,
2017-09-21,25154575.0,
2017-09-22,24603800.0,
2017-09-23,24271409.0,
2017-09-24,24241115.0,
2017-09-25,24032812.0,
2017-09-26,23914326.0,
2017-09-27,23893441.0,
2017-09-28,24270228.0,
2017-09-29,25126608.0,
2017-09-30,26241317.0,
2017-10-01,26220331.0,
2017-10-02,25959870.0,
2017-10-03,25566705.0,
2017-10-04,25613672.0,
2017-10-05,25609705.0,
2017-10-06,25592095.0,
2017-10-07,25207748.0,
2017-10-08,25036291.0,
2017-10-09,25383321.0,
2017-10-10,25484693.0,
2017-10-11,25662445.0,
2017-10-12,25654554.0,
2017-10-13,25541084.0,
2017-10-14,25738967.0,
2017-10-15,25834720.0,
2017-10-16,25878887.0,
2017-10-17,26034326.0,
2017-10-18,26425113.0,
2017-10-19,26469909.0,
2017-10-20,26370989.0,
2017-10-21,25851203.0,
2017-10-22,25447268.0,
2017-10-23,25316353.0,
2017-10-24,25473985.0,
2017-10-25,25330075.0,
2017-10-26,25301399.0,
2017-10-27,24906130.0,
2017-10-28,24440419.0,
2017-10-29,24238598.0,
2017-10-30,24582761.0,
2017-10-31,24455055.0,
2017-11-01,24650412.0,
2017-11-02,24948038.0,
2017-11-03,24862521.0,
2017-11-04,24998459.0,
2017-11-05,25007159.0,
2017-11-06,25395055.0,
2017-11-07,25396185.0,
2017-11-08,25260798.0,
2017-11-09,25021151.0,
2017-11-10,24579611.0,
2017-11-11,24642506.0,
2017-11-12,24564902.0,
2017-11-13,24433254.0,
2017-11-14,24242668.0,
2017-11-15,24111801.0,
2017-11-16,23989162.0,
2017-11-17,23902001.0,
2017-11-18,23999220.0,
2017-11-19,23984219.0,
2017-11-20,24002101.0,
2017-11-21,23878138.0,
2017-11-22,24078159.0,
2017-11-23,23975969.0,
2017-11-24,23852064.0,
2017-11-25,23521479.0,
2017-11-26,23495357.0,
2017-11-27,23621338.0,
2017-11-28,23561113.0,
2017-11-29,23782426.0,
2017-11-30,24573130.0,
2017-12-01,25340026.0,
2017-12-02,25074835.0,
2017-12-03,25106288.0,
2017-12-04,25594500.0,
2017-12-05,25747117.0,
2017-12-06,25805339.0,
2017-12-07,25584949.0,
2017-12-08,25469573.0,
2017-12-09,25309275.0,
2017-12-10,25424483.0,
2017-12-11,25601836.0,
2017-12-12,25770998.0,
2017-12-13,26016034.0,
2017-12-14,26412257.0,
2017-12-15,27042803.0,
2017-12-16,28191598.0,
2017-12-17,29558258.0,
2017-12-18,30219235.0,
2017-12-19,29313878.0,
2017-12-20,29374211.0,
2017-12-21,29378325.0,
2017-12-22,29042788.0,
2017-12-23,28774609.0,
2017-12-24,28341434.0,
2017-12-25,28596635.0,
2017-12-26,28737612.0,
2017-12-27,28884442.0,
2017-12-28,29554663.0,
2017-12-29,29635147.0,
2017-12-30,29630791.0,
2017-12-31,29219658.0,
2018-01-01,29212532.0,
2018-01-02,29356911.0,
2018-01-03,29526317.0,
2018-01-04,29913990.0,
2018-01-05,28418290.0,
2018-01-06,26997375.0,
2018-01-07,25647506.0,
2018-01-08,24753411.0,
2018-01-09,24349759.0,
2018-01-10,24397670.0,
2018-01-11,25243793.0,
2018-01-12,25112362.0,
2018-01-13,26276100.0,
2018-01-14,27589905.0,
2018-01-15,28962466.0,
2018-01-16,30389546.0,
2018-01-17,31877806.0,
2018-01-18,33471697.0,
2018-01-19,34851625.0,
2018-01-20,34826190.0,
2018-01-21,34512729.0,
2018-01-22,34443024.0,
2018-01-23,35055203.0,
2018-01-24,36745357.0,
2018-01-26,37498901.0,
2018-01-27,37229708.0,
2018-01-28,35826884.0,
2018-01-29,34172267.0,
2018-01-30,34586928.0,
2018-01-31,36315327.0,
2018-02-01,37599142.0,
2018-02-02,38676418.0,
2018-02-03,39961698.0,
2018-02-04,41435580.0,
2018-02-05,40525688.0,
2018-02-06,40399257.0,
2018-02-07,41545868.0,
2018-02-08,42674846.0,
2018-02-09,43806486.0,
2018-02-10,43355146.0,
2018-02-11,41472646.0,
2018-02-12,41505857.0,
2018-02-13,42394221.0,
2018-02-14,42962173.0,
2018-02-15,44548438.0,
2018-02-16,45484339.0,
2018-02-17,47670850.0,
2018-02-18,49783215.0,
2018-02-19,50570442.0,
2018-02-20,52222183.0,
2018-02-21,54819642.0,
2018-02-22,57560625.0,
2018-02-23,59112469.0,
2018-02-24,57998481.0,
2018-02-25,57082762.0,
2018-02-26,56610271.0,
2018-02-27,59335319.0,
2018-02-28,62168750.0,
2018-03-01,65277188.0,
2018-03-02,68159483.0,
2018-03-03,69288289.0,
2018-03-04,72469468.0,
2018-03-05,74374426.0,
2018-03-06,77422462.0,
2018-03-07,81291030.0,
2018-03-08,83121762.0,
2018-03-09,84628669.0,
2018-03-10,86315460.0,
2018-03-11,87246795.0,
2018-03-12,89164412.0,
2018-03-13,91734410.0,
2018-03-14,91378941.0,
2018-03-15,88443708.0,
2018-03-16,84065348.0,
2018-03-17,79862080.0,
2018-03-18,75868976.0,
2018-03-19,72075527.0,
2018-03-21,65219567.0,
2018-03-22,67899443.0,
2018-03-24,73202159.0,
2018-03-25,75185987.0,
2018-03-26,78414999.0,
2018-03-27,81668474.0,
2018-03-28,80373527.0,
2018-03-29,77216867.0,
2018-03-30,78668615.0,
2018-03-31,79272911.0,
2018-04-01,79847532.0,
2018-04-02,80589805.0,
2018-04-03,80915012.0,
2018-04-04,81961229.0,
2018-04-05,83056355.0,
2018-04-06,84118028.0,
2018-04-07,84365200.0,
2018-04-08,86127576.0,
2018-04-09,87512269.0,
2018-04-10,84664500.0,
2018-04-11,85645712.0,
2018-04-12,87053213.0,
2018-04-13,88351640.0,
2018-04-14,88655264.0,
2018-04-15,89197305.0,
2018-04-16,90105737.0,
2018-04-17,91800121.0,
2018-04-18,92833163.0,
2018-04-19,96091529.0,
2018-04-20,97594310.0,
2018-04-21,98188967.0,
2018-04-22,94125162.0,
2018-04-23,90502674.0,
2018-04-24,92686028.0,
2018-04-25,94962137.0,
2018-04-26,96541709.0,
2018-04-27,97375954.0,
2018-04-28,97294364.0,
2018-04-29,98628025.0,
2018-04-30,99292207.0,
2018-05-01,100525600.0,
2018-05-02,103085848.0,
2018-05-04,105188152.0,
2018-05-06,107631392.0,
2018-05-08,114944721.0,
2018-05-09,118281263.0,
2018-05-10,113463614.0,
2018-05-11,107790433.0,
2018-05-12,102959738.0,
2018-05-13,105547282.0,
2018-05-14,107498805.0,
2018-05-15,109682078.0,
2018-05-16,108926309.0,
2018-05-17,108473445.0,
2018-05-18,108139764.0,
2018-05-19,108999303.0,
2018-05-20,109098887.0,
2018-05-21,109056109.0,
2018-05-22,109146861.0,
2018-05-23,109053841.0,
2018-05-24,108913870.0,
2018-05-25,106263565.0,
2018-05-26,102024824.0,
2018-05-27,99745259.0,
2018-05-28,99536152.0,
2018-05-29,98307332.0,
2018-05-30,95728645.0,
2018-05-31,91248007.0,
2018-06-01,87750911.0,
2018-06-02,91421348.0,
2018-06-03,95315987.0,
2018-06-04,96074158.0,
2018-06-05,95219039.0,
2018-06-06,92621560.0,
2018-06-07,88788041.0,
2018-06-08,91104906.0,
2018-06-09,95255777.0,
2018-06-10,95816910.0,
2018-06-11,98760834.0,
2018-06-12,99180975.0,
2018-06-13,98431880.0,
2018-06-14,97094169.0,
2018-06-15,98869158.0,
2018-06-16,99604888.0,
2018-06-17,100919324.0,
2018-06-18,102958481.0,
2018-06-19,102794205.0,
2018-06-20,102577772.0,
2018-06-21,102700956.0,
2018-06-22,103974308.0,
2018-06-23,105690336.0,
2018-06-24,106804297.0,
2018-06-25,107571940.0,
2018-06-26,107589982.0,
2018-06-27,108219754.0,
2018-06-28,109543262.0,
2018-06-29,110926682.0,
2018-06-30,111416164.0,
2018-07-01,111758021.0,
2018-07-02,107668622.0,
2018-07-03,108872043.0,
2018-07-04,109059040.0,
2018-07-05,109723765.0,
2018-07-06,110541614.0,
2018-07-07,111838445.0,
2018-07-08,114207246.0,
2018-07-09,114222369.0,
2018-07-10,114785958.0,
2018-07-11,116546088.0,
2018-07-12,118519153.0,
2018-07-13,116919800.0,
2018-07-14,114195890.0,
