,price,volume
2015-03-27,6200.0,
2015-03-28,6200.0,
2015-03-29,6200.0,
2015-03-30,6200.0,
2015-03-31,6200.0,
2015-04-01,6200.0,
2015-04-02,6200.0,
2015-04-03,6200.0,
2015-04-04,6200.0,
2015-04-05,6200.0,
2015-04-06,6094.0,
2015-04-07,6094.0,
2015-04-08,6094.0,
2015-04-09,6094.0,
2015-04-10,6094.0,
2015-04-11,6094.0,
2015-04-12,6094.0,
2015-04-13,6094.0,
2015-04-14,6094.0,
2015-04-15,6094.0,
2015-04-16,6094.0,
2015-04-17,6094.0,
2015-04-18,6094.0,
2015-04-19,6094.0,
2015-04-20,6094.0,
2015-04-21,6094.0,
2015-04-22,6094.0,
2015-04-23,6094.0,
2015-04-24,6094.0,
2015-04-25,6094.0,
2015-04-26,6094.0,
2015-04-27,6094.0,
2015-04-28,6094.0,
2015-04-29,6094.0,
2015-04-30,6094.0,
2015-05-01,6094.0,
2015-05-02,5976.0,
2015-05-03,5976.0,
2015-05-04,5976.0,
2015-05-05,5976.0,
2015-05-06,5976.0,
2015-05-07,5976.0,
2015-05-08,5976.0,
2015-05-09,5976.0,
2015-05-10,5976.0,
2015-05-11,5976.0,
2015-05-12,5976.0,
2015-05-13,5976.0,
2015-05-14,5976.0,
2015-05-15,5976.0,
2015-05-16,5976.0,
2015-05-17,5976.0,
2015-05-18,5976.0,
2015-05-19,5976.0,
2015-05-20,5976.0,
2015-05-21,5976.0,
2015-05-22,5976.0,
2015-05-23,5976.0,
2015-05-24,5976.0,
2015-05-25,5976.0,
2015-05-26,5976.0,
2015-05-27,5976.0,
2015-05-28,5976.0,
2015-05-29,5713.0,
2015-05-30,5713.0,
2015-05-31,5713.0,
2015-06-01,5713.0,
2015-06-02,5713.0,
2015-06-03,5713.0,
2015-06-04,5713.0,
2015-06-05,5713.0,
2015-06-06,5713.0,
2015-06-07,5713.0,
2015-06-08,5713.0,
2015-06-09,5713.0,
2015-06-10,5713.0,
2015-06-11,5713.0,
2015-06-12,5713.0,
2015-06-13,5713.0,
2015-06-14,5713.0,
2015-06-15,5713.0,
2015-06-16,5713.0,
2015-06-17,5713.0,
2015-06-18,5713.0,
2015-06-19,5713.0,
2015-06-20,5713.0,
2015-06-21,5713.0,
2015-06-22,5713.0,
2015-06-23,5713.0,
2015-06-24,5713.0,
2015-06-25,5713.0,
2015-06-26,5713.0,
2015-06-27,5713.0,
2015-06-28,5713.0,
2015-06-29,5548.0,
2015-06-30,5548.0,
2015-07-01,5548.0,
2015-07-02,5548.0,
2015-07-03,5548.0,
2015-07-04,5548.0,
2015-07-05,5548.0,
2015-07-06,5548.0,
2015-07-07,5548.0,
2015-07-08,5548.0,
2015-07-09,5548.0,
2015-07-10,5548.0,
2015-07-11,5548.0,
2015-07-12,5548.0,
2015-07-13,5548.0,
2015-07-14,5548.0,
2015-07-15,5548.0,
2015-07-16,5548.0,
2015-07-17,5548.0,
2015-07-18,5548.0,
2015-07-19,5548.0,
2015-07-20,5548.0,
2015-07-21,5548.0,
2015-07-22,5548.0,
2015-07-23,5548.0,
2015-07-24,5548.0,
2015-07-25,5548.0,
2015-07-26,5548.0,
