,price,volume
2015-03-27,202.0,
2015-03-28,203.0,
2015-03-29,208.0,
2015-03-30,214.0,
2015-03-31,218.0,
2015-04-01,226.0,
2015-04-02,230.0,
2015-04-03,227.0,
2015-04-04,227.0,
2015-04-05,227.0,
2015-04-06,232.0,
2015-04-07,230.0,
2015-04-08,228.0,
2015-04-09,226.0,
2015-04-10,221.0,
2015-04-11,219.0,
2015-04-12,220.0,
2015-04-13,217.0,
2015-04-14,215.0,
2015-04-15,213.0,
2015-04-16,213.0,
2015-04-17,211.0,
2015-04-18,210.0,
2015-04-19,206.0,
2015-04-20,205.0,
2015-04-21,203.0,
2015-04-22,204.0,
2015-04-23,207.0,
2015-04-24,205.0,
2015-04-25,207.0,
2015-04-26,212.0,
2015-04-27,216.0,
2015-04-28,222.0,
2015-04-29,221.0,
2015-04-30,218.0,
2015-05-01,214.0,
2015-05-02,212.0,
2015-05-03,210.0,
2015-05-04,208.0,
2015-05-05,210.0,
2015-05-06,210.0,
2015-05-07,214.0,
2015-05-08,220.0,
2015-05-09,224.0,
2015-05-10,230.0,
2015-05-11,227.0,
2015-05-12,224.0,
2015-05-13,217.0,
2015-05-14,217.0,
2015-05-15,219.0,
2015-05-16,218.0,
2015-05-17,216.0,
2015-05-18,220.0,
2015-05-19,221.0,
2015-05-20,221.0,
2015-05-21,222.0,
2015-05-22,221.0,
2015-05-23,222.0,
2015-05-24,221.0,
2015-05-25,222.0,
2015-05-26,225.0,
2015-05-27,226.0,
2015-05-28,223.0,
2015-05-29,224.0,
2015-05-30,221.0,
2015-05-31,223.0,
2015-06-01,224.0,
2015-06-02,226.0,
2015-06-03,223.0,
2015-06-04,221.0,
2015-06-05,215.0,
2015-06-06,208.0,
2015-06-07,204.0,
2015-06-08,199.0,
2015-06-09,196.0,
2015-06-10,197.0,
2015-06-11,195.0,
2015-06-12,191.0,
2015-06-13,185.0,
2015-06-14,179.0,
2015-06-15,183.0,
2015-06-16,186.0,
2015-06-17,192.0,
2015-06-18,192.0,
2015-06-19,189.0,
2015-06-20,188.0,
2015-06-21,189.0,
2015-06-22,185.0,
2015-06-23,182.0,
2015-06-24,180.0,
2015-06-25,181.0,
2015-06-26,180.0,
2015-06-27,179.0,
2015-06-28,181.0,
2015-06-29,184.0,
2015-06-30,187.0,
2015-07-01,187.0,
2015-07-02,185.0,
2015-07-03,186.0,
2015-07-04,187.0,
2015-07-05,183.0,
2015-07-06,183.0,
2015-07-07,182.0,
2015-07-08,185.0,
2015-07-09,191.0,
2015-07-10,199.0,
2015-07-11,207.0,
2015-07-12,214.0,
2015-07-13,208.0,
2015-07-14,212.0,
2015-07-15,220.0,
2015-07-16,218.0,
2015-07-17,214.0,
2015-07-18,210.0,
2015-07-19,208.0,
2015-07-20,205.0,
2015-07-21,203.0,
2015-07-22,205.0,
2015-07-23,208.0,
2015-07-24,216.0,
2015-07-25,218.0,
2015-07-26,221.0,
2015-07-27,230.0,
2015-07-28,236.0,
2015-07-29,246.0,
2015-07-30,251.0,
2015-07-31,249.0,
2015-08-01,246.0,
2015-08-02,240.0,
2015-08-03,238.0,
2015-08-04,238.0,
2015-08-05,242.0,
2015-08-06,245.0,
2015-08-07,235.0,
2015-08-08,231.0,
2015-08-09,224.0,
2015-08-10,219.0,
2015-08-11,221.0,
2015-08-12,224.0,
2015-08-13,229.0,
2015-08-14,229.0,
2015-08-15,224.0,
2015-08-16,228.0,
2015-08-17,217.0,
2015-08-18,216.0,
2015-08-19,215.0,
2015-08-20,212.0,
2015-08-21,208.0,
2015-08-22,211.0,
2015-08-23,210.0,
2015-08-24,206.0,
2015-08-25,211.0,
2015-08-26,211.0,
2015-08-27,209.0,
2015-08-28,212.0,
2015-08-29,213.0,
2015-08-30,219.0,
2015-08-31,214.0,
2015-09-01,214.0,
2015-09-02,219.0,
2015-09-03,213.0,
2015-09-04,215.0,
2015-09-05,218.0,
2015-09-06,218.0,
2015-09-07,225.0,
2015-09-08,228.0,
2015-09-09,232.0,
2015-09-10,235.0,
2015-09-11,239.0,
2015-09-12,246.0,
2015-09-13,255.0,
2015-09-14,259.0,
2015-09-15,249.0,
2015-09-16,240.0,
2015-09-17,232.0,
2015-09-18,223.0,
2015-09-19,222.0,
2015-09-20,223.0,
2015-09-21,232.0,
2015-09-22,224.0,
2015-09-23,222.0,
2015-09-24,222.0,
2015-09-25,221.0,
2015-09-26,218.0,
2015-09-28,224.0,
2015-09-29,221.0,
2015-09-30,222.0,
2015-10-01,228.0,
2015-10-06,223.0,
2015-10-07,224.0,
2015-10-08,222.0,
2015-10-09,218.0,
2015-10-10,215.0,
2015-10-11,206.0,
2015-10-12,211.0,
2015-10-13,215.0,
2015-10-14,209.0,
2015-10-15,210.0,
2015-10-16,209.0,
2015-10-17,213.0,
2015-10-18,213.0,
2015-10-19,223.0,
2015-10-20,226.0,
2015-10-21,234.0,
2015-10-23,241.0,
2015-10-24,235.0,
2015-10-25,234.0,
2015-10-26,235.0,
2015-10-27,230.0,
2015-10-28,228.0,
2015-10-30,229.0,
2015-10-31,228.0,
2015-11-01,230.0,
2015-11-02,236.0,
2015-11-03,235.0,
2015-11-04,232.0,
2015-11-05,240.0,
2015-11-06,244.0,
2015-11-07,235.0,
2015-11-08,240.0,
2015-11-09,248.0,
2015-11-10,245.0,
2015-11-11,245.0,
2015-11-12,244.0,
2015-11-13,241.0,
2015-11-14,238.0,
2015-11-15,236.0,
2015-11-16,233.0,
2015-11-17,233.0,
2015-11-18,235.0,
2015-11-19,235.0,
2015-11-20,232.0,
2015-11-21,230.0,
2015-11-22,232.0,
2015-11-23,231.0,
2015-11-24,232.0,
2015-11-25,234.0,
2015-11-26,231.0,
2015-11-27,232.0,
2015-11-28,233.0,
2015-11-29,233.0,
2015-11-30,233.0,
2015-12-01,233.0,
2015-12-02,235.0,
2015-12-03,236.0,
2015-12-04,235.0,
2015-12-05,232.0,
2015-12-06,232.0,
2015-12-07,231.0,
2015-12-08,231.0,
2015-12-09,229.0,
2015-12-10,229.0,
2015-12-11,224.0,
2015-12-12,221.0,
2015-12-13,215.0,
2015-12-14,214.0,
2015-12-15,219.0,
2015-12-16,221.0,
2015-12-17,220.0,
2015-12-18,221.0,
2015-12-19,225.0,
2015-12-20,226.0,
2015-12-21,229.0,
2015-12-22,231.0,
2015-12-23,232.0,
2015-12-24,236.0,
2015-12-25,240.0,
2015-12-26,244.0,
2015-12-27,253.0,
2015-12-28,257.0,
2015-12-29,252.0,
2015-12-30,248.0,
2015-12-31,256.0,
2016-01-01,264.0,
2016-01-02,275.0,
2016-01-03,276.0,
2016-01-04,269.0,
2016-01-05,263.0,
2016-01-06,256.0,
2016-01-07,253.0,
2016-01-08,246.0,
2016-01-09,240.0,
2016-01-10,231.0,
2016-01-11,228.0,
2016-01-12,230.0,
2016-01-13,238.0,
2016-01-14,247.0,
2016-01-15,245.0,
2016-01-16,247.0,
2016-01-17,254.0,
2016-01-18,265.0,
2016-01-19,263.0,
2016-01-20,255.0,
2016-01-21,251.0,
2016-01-22,247.0,
2016-01-23,252.0,
2016-01-24,248.0,
2016-01-25,244.0,
2016-01-26,246.0,
2016-01-27,253.0,
2016-01-28,251.0,
2016-01-29,255.0,
2016-01-30,259.0,
2016-01-31,264.0,
2016-02-01,264.0,
2016-02-02,261.0,
2016-02-03,262.0,
2016-02-04,263.0,
2016-02-05,263.0,
2016-02-06,265.0,
2016-02-07,269.0,
2016-02-08,275.0,
2016-02-09,281.0,
2016-02-10,282.0,
2016-02-11,279.0,
2016-02-12,271.0,
2016-02-13,263.0,
2016-02-14,257.0,
2016-02-15,260.0,
2016-02-16,255.0,
2016-02-17,252.0,
2016-02-18,248.0,
2016-02-19,244.0,
2016-02-20,245.0,
2016-02-21,253.0,
2016-02-22,255.0,
2016-02-23,257.0,
2016-02-24,255.0,
2016-02-25,255.0,
2016-02-26,251.0,
2016-02-27,254.0,
2016-02-28,255.0,
2016-02-29,253.0,
2016-03-01,258.0,
2016-03-02,260.0,
2016-03-03,265.0,
2016-03-04,268.0,
2016-03-05,277.0,
2016-03-06,287.0,
2016-03-07,284.0,
2016-03-08,281.0,
2016-03-09,277.0,
2016-03-10,271.0,
2016-03-11,261.0,
2016-03-12,256.0,
2016-03-13,255.0,
2016-03-14,254.0,
2016-03-15,259.0,
2016-03-16,260.0,
2016-03-17,268.0,
2016-03-18,267.0,
2016-03-19,262.0,
2016-03-20,260.0,
2016-03-21,258.0,
2016-03-22,255.0,
2016-03-23,254.0,
2016-03-24,256.0,
2016-03-25,256.0,
2016-03-26,258.0,
2016-03-27,264.0,
2016-03-28,273.0,
2016-03-29,276.0,
2016-03-30,282.0,
2016-03-31,287.0,
2016-04-01,286.0,
2016-04-02,278.0,
2016-04-03,272.0,
2016-04-04,270.0,
2016-04-05,267.0,
2016-04-06,270.0,
2016-04-07,277.0,
2016-04-08,278.0,
2016-04-09,280.0,
2016-04-10,276.0,
2016-04-11,283.0,
2016-04-12,285.0,
2016-04-13,284.0,
2016-04-14,284.0,
2016-04-15,274.0,
2016-04-16,274.0,
2016-04-17,269.0,
2016-04-18,264.0,
2016-04-19,264.0,
2016-04-20,260.0,
2016-04-21,259.0,
2016-04-22,251.0,
2016-04-23,250.0,
2016-04-24,247.0,
2016-04-25,245.0,
2016-04-26,247.0,
2016-04-27,249.0,
2016-04-28,258.0,
2016-04-29,255.0,
2016-04-30,258.0,
2016-05-01,258.0,
2016-05-02,258.0,
2016-05-03,253.0,
2016-05-04,251.0,
2016-05-05,244.0,
2016-05-06,240.0,
2016-05-07,229.0,
2016-05-08,221.0,
2016-05-09,216.0,
2016-05-10,225.0,
2016-05-11,227.0,
2016-05-12,223.0,
2016-05-13,229.0,
2016-05-14,234.0,
2016-05-15,236.0,
2016-05-16,232.0,
2016-05-17,231.0,
2016-05-18,231.0,
2016-05-19,236.0,
2016-05-20,237.0,
2016-05-23,231.0,
2016-05-24,233.0,
2016-05-25,240.0,
2016-05-26,250.0,
2016-05-27,251.0,
2016-05-28,244.0,
2016-05-29,243.0,
2016-05-30,237.0,
2016-05-31,239.0,
2016-06-01,246.0,
2016-06-02,252.0,
2016-06-03,253.0,
2016-06-04,259.0,
2016-06-05,265.0,
2016-06-06,272.0,
2016-06-07,271.0,
2016-06-08,259.0,
2016-06-09,256.0,
2016-06-10,253.0,
2016-06-11,252.0,
2016-06-12,251.0,
2016-06-13,251.0,
2016-06-14,248.0,
2016-06-15,247.0,
2016-06-16,245.0,
2016-06-17,244.0,
2016-06-18,245.0,
2016-06-19,254.0,
2016-06-20,257.0,
2016-06-21,251.0,
2016-06-22,250.0,
2016-06-23,246.0,
2016-06-24,247.0,
2016-06-25,251.0,
2016-06-26,261.0,
2016-06-27,275.0,
2016-06-28,289.0,
2016-06-29,295.0,
2016-06-30,295.0,
2016-07-01,302.0,
2016-07-02,297.0,
2016-07-03,294.0,
2016-07-04,290.0,
2016-07-05,279.0,
2016-07-06,275.0,
2016-07-07,268.0,
2016-07-08,260.0,
2016-07-09,262.0,
2016-07-10,274.0,
2016-07-11,287.0,
2016-07-12,283.0,
2016-07-13,276.0,
2016-07-14,269.0,
2016-07-15,266.0,
2016-07-16,275.0,
2016-07-17,271.0,
2016-07-18,270.0,
2016-07-19,274.0,
2016-07-24,282.0,
2016-07-25,277.0,
2016-07-26,274.0,
2016-07-27,273.0,
2016-07-28,275.0,
2016-07-29,280.0,
2016-07-30,270.0,
2016-07-31,271.0,
2016-08-01,269.0,
2016-08-02,269.0,
2016-08-03,267.0,
2016-08-04,262.0,
2016-08-05,259.0,
2016-08-06,259.0,
2016-08-07,269.0,
2016-08-08,266.0,
2016-08-09,258.0,
2016-08-10,254.0,
2016-08-11,244.0,
2016-08-12,236.0,
2016-08-13,235.0,
2016-08-14,236.0,
2016-08-15,234.0,
2016-08-16,229.0,
2016-08-17,228.0,
2016-08-18,224.0,
2016-08-19,225.0,
2016-08-20,228.0,
2016-08-21,232.0,
2016-08-22,230.0,
2016-08-23,230.0,
2016-08-24,225.0,
2016-08-25,217.0,
2016-08-26,206.0,
2016-08-27,200.0,
2016-08-29,205.0,
2016-09-01,209.0,
2016-09-02,206.0,
2016-09-03,203.0,
2016-09-04,203.0,
2016-09-05,201.0,
2016-09-06,202.0,
2016-09-07,207.0,
2016-09-08,207.0,
2016-09-09,209.0,
2016-09-10,213.0,
2016-09-11,221.0,
2016-09-12,220.0,
2016-09-13,216.0,
2016-09-14,214.0,
2016-09-15,217.0,
2016-09-16,218.0,
2016-09-17,216.0,
2016-09-18,221.0,
2016-09-19,223.0,
2016-09-20,227.0,
2016-09-21,230.0,
2016-09-22,228.0,
2016-09-23,221.0,
2016-09-24,213.0,
2016-09-25,204.0,
2016-09-26,209.0,
2016-09-27,214.0,
2016-09-28,210.0,
2016-09-29,207.0,
2016-09-30,216.0,
2016-10-01,222.0,
2016-10-02,224.0,
2016-10-03,228.0,
2016-10-04,228.0,
2016-10-05,228.0,
2016-10-06,227.0,
2016-10-07,224.0,
2016-10-08,223.0,
2016-10-09,221.0,
2016-10-10,224.0,
2016-10-11,227.0,
2016-10-12,227.0,
2016-10-13,227.0,
2016-10-14,231.0,
2016-10-15,226.0,
2016-10-16,224.0,
2016-10-17,221.0,
2016-10-18,219.0,
