,price,volume
2015-03-27,20.0,
2015-03-28,21.0,
2015-03-29,21.0,
2015-03-30,21.0,
2015-03-31,21.0,
2015-04-01,21.0,
2015-04-02,21.0,
2015-04-03,21.0,
2015-04-04,21.0,
2015-04-05,21.0,
2015-04-06,22.0,
2015-04-07,22.0,
2015-04-08,23.0,
2015-04-09,24.0,
2015-04-10,25.0,
2015-04-11,26.0,
2015-04-12,27.0,
2015-04-13,27.0,
2015-04-14,28.0,
2015-04-15,29.0,
2015-04-16,30.0,
2015-04-17,30.0,
2015-04-18,31.0,
2015-04-19,32.0,
2015-04-20,33.0,
2015-04-21,33.0,
2015-04-22,34.0,
2015-04-23,35.0,
2015-04-24,35.0,
2015-04-25,35.0,
2015-04-26,34.0,
2015-04-27,33.0,
2015-04-28,34.0,
2015-04-29,34.0,
2015-04-30,35.0,
2015-05-01,35.0,
2015-05-02,36.0,
2015-05-03,37.0,
2015-05-04,37.0,
2015-05-05,38.0,
2015-05-06,38.0,
2015-05-07,39.0,
2015-05-08,39.0,
2015-05-09,39.0,
2015-05-10,39.0,
2015-05-11,39.0,
2015-05-12,39.0,
2015-05-13,38.0,
2015-05-14,37.0,
2015-05-15,37.0,
2015-05-16,37.0,
2015-05-17,36.0,
2015-05-18,35.0,
2015-05-19,35.0,
2015-05-20,36.0,
2015-05-21,37.0,
2015-05-22,37.0,
2015-05-23,38.0,
2015-05-24,38.0,
2015-05-25,38.0,
2015-05-26,37.0,
2015-05-27,36.0,
2015-05-28,36.0,
2015-05-29,36.0,
2015-05-30,37.0,
2015-05-31,37.0,
2015-06-01,37.0,
2015-06-02,37.0,
2015-06-03,36.0,
2015-06-04,36.0,
2015-06-05,35.0,
2015-06-06,34.0,
2015-06-07,33.0,
2015-06-08,32.0,
2015-06-09,30.0,
2015-06-10,29.0,
2015-06-11,28.0,
2015-06-12,28.0,
2015-06-13,28.0,
2015-06-14,28.0,
2015-06-15,27.0,
2015-06-16,27.0,
2015-06-17,28.0,
2015-06-18,29.0,
2015-06-19,30.0,
2015-06-20,30.0,
2015-06-21,30.0,
2015-06-22,29.0,
2015-06-23,28.0,
2015-06-24,27.0,
2015-06-25,27.0,
2015-06-26,27.0,
2015-06-27,27.0,
2015-06-28,28.0,
2015-06-29,28.0,
2015-06-30,28.0,
2015-07-01,29.0,
2015-07-02,30.0,
2015-07-03,31.0,
2015-07-04,31.0,
2015-07-05,31.0,
2015-07-06,31.0,
2015-07-07,31.0,
2015-07-08,31.0,
2015-07-09,32.0,
2015-07-10,31.0,
2015-07-11,32.0,
2015-07-12,32.0,
2015-07-13,32.0,
2015-07-14,33.0,
2015-07-15,33.0,
2015-07-16,34.0,
2015-07-17,34.0,
2015-07-18,36.0,
2015-07-19,37.0,
2015-07-20,38.0,
2015-07-21,38.0,
2015-07-22,38.0,
2015-07-23,38.0,
2015-07-24,39.0,
2015-07-25,39.0,
2015-07-26,39.0,
2015-07-27,39.0,
2015-07-28,39.0,
2015-07-29,40.0,
2015-07-30,40.0,
2015-07-31,41.0,
2015-08-01,42.0,
