,price,volume
2015-03-05,4119.0,
2015-03-06,4119.0,
2015-03-07,3979.0,
2015-03-08,3979.0,
2015-03-09,3979.0,
2015-03-10,3974.0,
2015-03-11,3974.0,
2015-03-12,3974.0,
2015-03-13,3974.0,
2015-03-14,3950.0,
2015-03-15,3950.0,
2015-03-16,3950.0,
2015-03-17,3949.0,
2015-03-18,3949.0,
2015-03-19,3949.0,
2015-03-20,3868.0,
2015-03-21,3868.0,
2015-03-22,3868.0,
2015-03-23,3807.0,
2015-03-24,3807.0,
2015-03-25,3807.0,
2015-03-26,3717.0,
2015-03-27,3717.0,
2015-03-28,3717.0,
2015-03-29,3691.0,
2015-03-30,3691.0,
2015-03-31,3632.0,
2015-04-01,3632.0,
2015-04-02,3632.0,
2015-04-03,3549.0,
2015-04-04,3549.0,
2015-04-05,3549.0,
2015-04-06,3549.0,
2015-04-07,3599.0,
2015-04-08,3599.0,
2015-04-09,3599.0,
2015-04-10,3599.0,
2015-04-11,3599.0,
2015-04-12,3623.0,
2015-04-13,3623.0,
2015-04-14,3673.0,
2015-04-15,3673.0,
2015-04-16,3725.0,
2015-04-17,3725.0,
2015-04-18,3772.0,
2015-04-19,3772.0,
2015-04-20,3769.0,
2015-04-21,3769.0,
2015-04-22,3769.0,
2015-04-23,3770.0,
2015-04-24,3770.0,
2015-04-25,3741.0,
2015-04-26,3741.0,
2015-04-27,3737.0,
2015-04-28,3737.0,
2015-04-29,3782.0,
2015-04-30,3782.0,
2015-05-01,3782.0,
2015-05-02,3807.0,
2015-05-03,3807.0,
2015-05-04,3807.0,
2015-05-05,3764.0,
2015-05-06,3764.0,
2015-05-07,3714.0,
2015-05-08,3714.0,
2015-05-09,3696.0,
2015-05-10,3696.0,
2015-05-11,3706.0,
2015-05-12,3706.0,
2015-05-13,3705.0,
2015-05-14,3705.0,
2015-05-15,3697.0,
2015-05-16,3697.0,
2015-05-17,3697.0,
2015-05-18,3649.0,
2015-05-19,3649.0,
2015-05-20,3649.0,
2015-05-21,3591.0,
2015-05-22,3591.0,
2015-05-23,3591.0,
2015-05-24,3586.0,
2015-05-25,3586.0,
2015-05-26,3542.0,
2015-05-27,3542.0,
2015-05-28,3542.0,
2015-05-29,3514.0,
2015-05-30,3514.0,
2015-05-31,3566.0,
2015-06-01,3566.0,
2015-06-02,3561.0,
2015-06-03,3561.0,
2015-06-04,3561.0,
2015-06-05,3598.0,
2015-06-06,3598.0,
2015-06-07,3629.0,
2015-06-08,3629.0,
2015-06-09,3704.0,
2015-06-10,3704.0,
2015-06-11,3799.0,
2015-06-12,3799.0,
2015-06-13,3799.0,
2015-06-14,3897.0,
2015-06-15,3897.0,
2015-06-16,3981.0,
2015-06-17,3981.0,
2015-06-18,4024.0,
2015-06-19,4024.0,
2015-06-20,4056.0,
2015-06-21,4056.0,
2015-06-22,4123.0,
2015-06-23,4123.0,
2015-06-24,4140.0,
2015-06-25,4140.0,
2015-06-26,4107.0,
2015-06-27,4040.0,
2015-06-28,4040.0,
2015-06-29,3909.0,
2015-06-30,3909.0,
2015-07-01,3879.0,
2015-07-02,3879.0,
2015-07-03,3831.0,
2015-07-04,3831.0,
2015-07-05,3790.0,
2015-07-06,3790.0,
2015-07-07,3806.0,
2015-07-08,3806.0,
2015-07-09,3866.0,
2015-07-10,3866.0,
2015-07-11,3957.0,
2015-07-12,3957.0,
2015-07-13,4028.0,
2015-07-14,4028.0,
2015-07-15,3931.0,
2015-07-16,3931.0,
2015-07-17,3936.0,
2015-07-18,3936.0,
2015-07-19,3899.0,
2015-07-20,3899.0,
2015-07-21,3867.0,
2015-07-22,3867.0,
2015-07-23,3925.0,
2015-07-24,3925.0,
2015-07-25,3999.0,
2015-07-26,3999.0,
2015-07-27,4019.0,
2015-07-28,4019.0,
2015-07-29,4039.0,
2015-07-30,4105.0,
2015-07-31,4105.0,
2015-08-01,4108.0,
2015-08-02,4108.0,
2015-08-03,4121.0,
2015-08-04,4121.0,
2015-08-05,4074.0,
2015-08-06,4074.0,
2015-08-07,4093.0,
2015-08-08,4093.0,
2015-08-09,4130.0,
