,price,volume
2015-03-27,5504.0,
2015-03-28,5549.0,
2015-03-29,5476.0,
2015-03-30,5353.0,
2015-03-31,5341.0,
2015-04-01,5476.0,
2015-04-02,5525.0,
2015-04-03,5569.0,
2015-04-04,5596.0,
2015-04-05,5599.0,
2015-04-06,5573.0,
2015-04-07,5541.0,
2015-04-08,5551.0,
2015-04-09,5548.0,
2015-04-10,5576.0,
2015-04-11,5589.0,
2015-04-12,5640.0,
2015-04-13,5660.0,
2015-04-14,5705.0,
2015-04-15,5759.0,
2015-04-16,5815.0,
2015-04-17,5812.0,
2015-04-18,5782.0,
2015-04-19,5764.0,
2015-04-20,5718.0,
2015-04-21,5703.0,
2015-04-22,5618.0,
2015-04-23,5617.0,
2015-04-24,5587.0,
2015-04-25,5636.0,
2015-04-26,5635.0,
2015-04-27,5664.0,
2015-04-28,5735.0,
2015-04-29,5753.0,
2015-04-30,5793.0,
2015-05-01,5778.0,
2015-05-02,5773.0,
2015-05-03,5758.0,
2015-05-04,5720.0,
2015-05-05,5717.0,
2015-05-06,5642.0,
2015-05-07,5623.0,
2015-05-08,5574.0,
2015-05-09,5566.0,
2015-05-10,5576.0,
2015-05-11,5499.0,
2015-05-12,5439.0,
2015-05-13,5387.0,
2015-05-14,5341.0,
2015-05-15,5382.0,
2015-05-16,5459.0,
2015-05-17,5444.0,
2015-05-18,5444.0,
2015-05-19,5456.0,
2015-05-20,5448.0,
2015-05-21,5387.0,
2015-05-22,5391.0,
2015-05-23,5400.0,
2015-05-24,5334.0,
2015-05-25,5297.0,
2015-05-26,5259.0,
2015-05-27,5224.0,
2015-05-28,5226.0,
2015-05-29,5271.0,
2015-05-30,5359.0,
2015-05-31,5381.0,
2015-06-01,5381.0,
2015-06-02,5434.0,
2015-06-03,5471.0,
2015-06-04,5459.0,
2015-06-05,5573.0,
2015-06-06,5612.0,
2015-06-07,5655.0,
2015-06-08,5720.0,
2015-06-09,5764.0,
2015-06-10,5783.0,
2015-06-11,5872.0,
2015-06-12,5974.0,
2015-06-13,6002.0,
2015-06-14,6104.0,
2015-06-15,6175.0,
2015-06-16,6187.0,
2015-06-17,6227.0,
2015-06-18,6253.0,
2015-06-19,6270.0,
2015-06-20,6342.0,
2015-06-21,6386.0,
2015-06-22,6379.0,
2015-06-23,6357.0,
2015-06-24,6277.0,
2015-06-25,6218.0,
2015-06-26,6067.0,
2015-06-27,5935.0,
2015-06-28,5747.0,
2015-06-29,5631.0,
2015-06-30,5602.0,
2015-07-01,5580.0,
2015-07-02,5550.0,
2015-07-03,5729.0,
2015-07-04,5790.0,
2015-07-05,5915.0,
2015-07-06,5889.0,
2015-07-07,5895.0,
2015-07-08,5853.0,
2015-07-09,5939.0,
2015-07-10,5984.0,
2015-07-11,5995.0,
2015-07-12,5988.0,
2015-07-13,6014.0,
2015-07-14,5963.0,
2015-07-15,5879.0,
2015-07-16,5853.0,
2015-07-17,5831.0,
2015-07-18,5821.0,
2015-07-19,5781.0,
2015-07-20,5817.0,
2015-07-21,5839.0,
2015-07-22,5930.0,
2015-07-23,5962.0,
2015-07-24,5970.0,
2015-07-25,6019.0,
2015-07-26,6064.0,
2015-07-27,6100.0,
2015-07-28,6064.0,
2015-07-29,6070.0,
2015-07-30,6105.0,
2015-07-31,6153.0,
2015-08-01,6171.0,
2015-08-02,6177.0,
2015-08-03,6142.0,
2015-08-04,6078.0,
2015-08-05,6155.0,
2015-08-06,6142.0,
2015-08-07,6240.0,
2015-08-08,6286.0,
2015-08-09,6263.0,
2015-08-10,6237.0,
2015-08-11,6255.0,
2015-08-12,6250.0,
2015-08-13,6238.0,
2015-08-14,6225.0,
2015-08-15,6219.0,
2015-08-16,6242.0,
2015-08-17,6318.0,
2015-08-18,6342.0,
2015-08-19,6532.0,
2015-08-20,6698.0,
2015-08-21,6836.0,
2015-08-22,6876.0,
2015-08-23,6867.0,
2015-08-24,6916.0,
2015-08-25,6909.0,
2015-08-26,6945.0,
2015-08-27,6915.0,
2015-08-28,6918.0,
2015-08-29,6974.0,
2015-08-30,7265.0,
2015-08-31,7394.0,
2015-09-01,7420.0,
2015-09-02,7429.0,
2015-09-03,7494.0,
2015-09-04,7683.0,
2015-09-05,7736.0,
2015-09-06,7583.0,
2015-09-07,7523.0,
2015-09-08,7420.0,
2015-09-09,7373.0,
2015-09-10,7277.0,
2015-09-11,7295.0,
2015-09-12,7214.0,
2015-09-13,7177.0,
2015-09-14,7083.0,
2015-09-15,7029.0,
2015-09-16,6971.0,
2015-09-17,6932.0,
2015-09-18,6855.0,
2015-09-19,6839.0,
