,price,volume
2015-03-27,15698207.0,
2015-03-28,15698207.0,
2015-03-29,15763871.0,
2015-03-30,15895370.0,
2015-03-31,15907831.0,
2015-04-01,15958394.0,
2015-04-02,15958394.0,
2015-04-03,15949856.0,
2015-04-04,15999987.0,
2015-04-05,15968386.0,
2015-04-06,15968386.0,
2015-04-07,15930905.0,
2015-04-08,15869820.0,
2015-04-09,15869820.0,
2015-04-10,15825415.0,
2015-04-11,15921467.0,
2015-04-12,15930430.0,
2015-04-13,15935647.0,
2015-04-14,15945234.0,
2015-04-15,15945234.0,
2015-04-16,15902820.0,
2015-04-17,15902820.0,
2015-04-18,15930912.0,
2015-04-19,15954022.0,
2015-04-20,15986345.0,
2015-04-21,15986345.0,
2015-04-22,15952699.0,
2015-04-23,15952699.0,
2015-04-24,16105459.0,
2015-04-25,16326643.0,
2015-04-26,16673213.0,
2015-04-27,16700035.0,
2015-04-28,16688198.0,
2015-04-29,16507002.0,
2015-04-30,16507002.0,
2015-05-01,16288013.0,
2015-05-02,15615387.0,
2015-05-03,14932238.0,
2015-05-04,14932238.0,
2015-05-05,14250937.0,
2015-05-06,14480737.0,
2015-05-07,14729153.0,
2015-05-08,14934903.0,
2015-05-09,15007388.0,
2015-05-10,15207312.0,
2015-05-11,15459211.0,
2015-05-12,15459211.0,
2015-05-13,15731131.0,
2015-05-14,15838088.0,
2015-05-15,16098595.0,
2015-05-16,16885132.0,
2015-05-17,17518060.0,
2015-05-18,17699313.0,
2015-05-19,17769827.0,
2015-05-20,17562406.0,
2015-05-21,17562406.0,
2015-05-22,16991115.0,
2015-05-23,16232859.0,
2015-05-24,16177472.0,
2015-05-25,16306155.0,
2015-05-26,16219083.0,
2015-05-27,16255257.0,
2015-05-28,16324079.0,
2015-05-29,16302404.0,
2015-05-30,16441636.0,
2015-05-31,16598653.0,
2015-06-01,16610670.0,
2015-06-02,16869876.0,
2015-06-03,17232023.0,
2015-06-04,17872174.0,
2015-06-05,18248965.0,
2015-06-06,18094342.0,
2015-06-07,17712842.0,
2015-06-08,18050815.0,
2015-06-09,18218638.0,
2015-06-10,18250802.0,
2015-06-11,17961661.0,
2015-06-12,17641505.0,
2015-06-13,17421672.0,
2015-06-14,17548623.0,
2015-06-15,17653202.0,
2015-06-16,17742844.0,
2015-06-17,17601144.0,
2015-06-18,17681831.0,
2015-06-19,17691275.0,
2015-06-20,17818173.0,
2015-06-21,17939349.0,
2015-06-22,18216320.0,
2015-06-23,17974186.0,
2015-06-24,17844367.0,
2015-06-25,17805166.0,
2015-06-26,17709529.0,
2015-06-27,17798243.0,
2015-06-28,17970206.0,
2015-06-29,17974955.0,
2015-06-30,17902299.0,
2015-07-01,17856522.0,
2015-07-02,17909888.0,
2015-07-03,18021145.0,
2015-07-04,18154846.0,
2015-07-05,18223691.0,
2015-07-06,18361165.0,
2015-07-07,18517321.0,
2015-07-08,19292348.0,
2015-07-09,19713762.0,
2015-07-10,19984503.0,
2015-07-11,20037167.0,
2015-07-12,19514574.0,
2015-07-13,18737967.0,
2015-07-14,18517740.0,
2015-07-15,18951703.0,
2015-07-16,19092262.0,
2015-07-17,19271393.0,
2015-07-18,19388328.0,
2015-07-19,19730628.0,
2015-07-20,19842633.0,
2015-07-21,19411603.0,
2015-07-22,19300166.0,
2015-07-23,19355352.0,
2015-07-24,19487115.0,
2015-07-25,19691426.0,
2015-07-26,19655612.0,
2015-07-27,19792407.0,
2015-07-28,20169413.0,
2015-07-29,20882009.0,
2015-07-30,20849221.0,
2015-07-31,20879028.0,
2015-08-01,20943454.0,
2015-08-02,21096714.0,
2015-08-03,21109584.0,
2015-08-04,21340324.0,
2015-08-05,21446205.0,
2015-08-06,22033488.0,
2015-08-07,23110556.0,
2015-08-08,24238932.0,
2015-08-09,25176465.0,
2015-08-10,24298860.0,
2015-08-11,23219910.0,
2015-08-12,22414031.0,
2015-08-13,22062544.0,
2015-08-14,21849566.0,
2015-08-15,22393932.0,
2015-08-16,22453507.0,
2015-08-17,22619369.0,
2015-08-18,23392551.0,
2015-08-19,23373875.0,
2015-08-20,23769921.0,
2015-08-21,23721391.0,
2015-08-22,23725883.0,
2015-08-23,23989838.0,
2015-08-24,23849196.0,
2015-08-25,23616816.0,
2015-08-26,23625142.0,
2015-08-27,24092807.0,
2015-08-28,23230692.0,
2015-08-29,22069157.0,
2015-08-30,20965699.0,
