,price,volume
2015-03-27,7402.0,
2015-03-28,7402.0,
2015-03-29,7359.0,
2015-03-30,7311.0,
2015-03-31,7259.0,
2015-04-01,7337.0,
2015-04-02,7392.0,
2015-04-03,7405.0,
2015-04-04,7434.0,
2015-04-05,7380.0,
2015-04-06,7442.0,
2015-04-07,7398.0,
2015-04-08,7415.0,
2015-04-09,7462.0,
2015-04-10,7454.0,
2015-04-11,7433.0,
2015-04-12,7453.0,
2015-04-13,7420.0,
2015-04-14,7444.0,
2015-04-15,7422.0,
2015-04-16,7388.0,
2015-04-17,7414.0,
2015-04-18,7422.0,
2015-04-19,7415.0,
2015-04-20,7393.0,
2015-04-21,7413.0,
2015-04-22,7419.0,
2015-04-23,7401.0,
2015-04-24,7438.0,
2015-04-25,7428.0,
2015-04-26,7403.0,
2015-04-27,7469.0,
2015-04-28,7480.0,
2015-04-29,7449.0,
2015-04-30,7425.0,
2015-05-01,7393.0,
2015-05-02,7366.0,
2015-05-03,7384.0,
2015-05-04,7358.0,
2015-05-05,7418.0,
2015-05-06,7443.0,
2015-05-07,7355.0,
2015-05-08,7363.0,
2015-05-09,7431.0,
2015-05-10,7412.0,
2015-05-11,7318.0,
2015-05-12,7377.0,
2015-05-13,7429.0,
2015-05-14,7455.0,
2015-05-15,7420.0,
2015-05-16,7391.0,
2015-05-17,7352.0,
2015-05-18,7375.0,
2015-05-19,7392.0,
2015-05-20,7430.0,
2015-05-21,7440.0,
2015-05-22,7476.0,
2015-05-23,7480.0,
2015-05-24,7388.0,
2015-05-25,7383.0,
2015-05-26,7439.0,
2015-05-27,7434.0,
2015-05-28,7410.0,
2015-05-29,7458.0,
2015-05-30,7412.0,
2015-05-31,7395.0,
2015-06-01,7370.0,
2015-06-02,7368.0,
2015-06-03,7407.0,
2015-06-04,7438.0,
2015-06-05,7427.0,
2015-06-06,7430.0,
2015-06-07,7466.0,
2015-06-08,7482.0,
2015-06-09,7427.0,
2015-06-10,7423.0,
2015-06-11,7528.0,
2015-06-12,7471.0,
2015-06-13,7456.0,
2015-06-14,7427.0,
2015-06-15,7394.0,
2015-06-16,7458.0,
2015-06-17,7450.0,
2015-06-18,7398.0,
2015-06-19,7464.0,
2015-06-20,7445.0,
2015-06-21,7422.0,
2015-06-22,7439.0,
2015-06-23,7452.0,
2015-06-24,7432.0,
2015-06-25,7408.0,
2015-06-26,7495.0,
2015-06-27,7441.0,
2015-06-28,7435.0,
2015-06-29,7452.0,
2015-06-30,7462.0,
2015-07-01,7449.0,
2015-07-02,7465.0,
2015-07-03,7446.0,
2015-07-04,7444.0,
2015-07-05,7439.0,
2015-07-06,7459.0,
2015-07-07,7476.0,
2015-07-08,7432.0,
2015-07-09,7467.0,
2015-07-10,7447.0,
2015-07-11,7456.0,
2015-07-12,7475.0,
2015-07-13,7468.0,
2015-07-14,7491.0,
2015-07-15,7502.0,
2015-07-16,7510.0,
2015-07-17,7469.0,
2015-07-18,7438.0,
2015-07-19,7467.0,
2015-07-20,7425.0,
2015-07-21,7485.0,
2015-07-22,7446.0,
2015-07-23,7457.0,
2015-07-24,7460.0,
2015-07-25,7403.0,
2015-07-26,7433.0,
2015-07-27,7339.0,
2015-07-28,7316.0,
2015-07-29,7375.0,
2015-07-30,7446.0,
2015-07-31,7455.0,
2015-08-01,7466.0,
2015-08-02,7466.0,
2015-08-03,7444.0,
2015-08-04,7415.0,
2015-08-05,7435.0,
2015-08-06,7473.0,
2015-08-07,7537.0,
2015-08-08,7477.0,
2015-08-09,7502.0,
2015-08-10,7470.0,
2015-08-11,7466.0,
2015-08-12,7470.0,
2015-08-13,7383.0,
2015-08-14,7313.0,
2015-08-15,7346.0,
2015-08-16,7467.0,
2015-08-17,7500.0,
2015-08-18,7503.0,
2015-08-19,7520.0,
2015-08-20,7493.0,
2015-08-21,7538.0,
2015-08-22,7480.0,
2015-08-23,7425.0,
2015-08-24,7521.0,
2015-08-25,7510.0,
2015-08-26,7462.0,
2015-08-27,7502.0,
2015-08-28,7541.0,
2015-08-29,7391.0,
2015-08-30,7478.0,
2015-08-31,7399.0,
2015-09-01,7442.0,
2015-09-02,7424.0,
2015-09-03,7462.0,
2015-09-04,7476.0,
2015-09-05,7455.0,
2015-09-06,7474.0,
2015-09-07,7482.0,
2015-09-08,7472.0,
2015-09-09,7423.0,
2015-09-10,7465.0,
2015-09-11,7469.0,
2015-09-12,7492.0,
2015-09-13,7529.0,
2015-09-14,7520.0,
2015-09-15,7500.0,
2015-09-16,7505.0,
2015-09-17,7476.0,
2015-09-18,7464.0,
2015-09-19,7397.0,
2015-09-20,7404.0,
2015-09-21,7458.0,
2015-09-22,7488.0,
2015-09-23,7468.0,
2015-09-24,7406.0,
2015-09-25,7424.0,
2015-09-26,7423.0,
2015-09-28,7477.0,
2015-09-29,7432.0,
2015-09-30,7431.0,
2015-10-01,7479.0,
2015-10-06,7433.0,
2015-10-07,7473.0,
2015-10-08,7495.0,
2015-10-09,7462.0,
2015-10-10,7497.0,
2015-10-11,7538.0,
2015-10-12,7532.0,
2015-10-13,7494.0,
2015-10-14,7500.0,
2015-10-15,7501.0,
2015-10-16,7589.0,
2015-10-17,7634.0,
2015-10-18,7819.0,
2015-10-19,8185.0,
2015-10-20,8073.0,
2015-10-21,7671.0,
2015-10-23,7422.0,
2015-10-24,7340.0,
2015-10-25,7318.0,
2015-10-26,7418.0,
2015-10-27,7458.0,
2015-10-28,7529.0,
2015-10-30,7548.0,
2015-10-31,7585.0,
2015-11-01,7690.0,
2015-11-02,7664.0,
2015-11-03,7681.0,
2015-11-04,7673.0,
2015-11-05,7609.0,
2015-11-06,7585.0,
2015-11-07,7602.0,
2015-11-08,7628.0,
2015-11-09,7598.0,
2015-11-10,7615.0,
2015-11-11,7515.0,
2015-11-12,7501.0,
2015-11-13,7459.0,
2015-11-14,7403.0,
2015-11-15,7468.0,
2015-11-16,7526.0,
2015-11-17,7504.0,
2015-11-18,7484.0,
2015-11-19,7501.0,
2015-11-20,7524.0,
2015-11-21,7604.0,
2015-11-22,7563.0,
2015-11-23,7571.0,
2015-11-24,7549.0,
2015-11-25,7574.0,
2015-11-26,7536.0,
2015-11-27,7548.0,
2015-11-28,7582.0,
2015-11-29,7561.0,
2015-11-30,7551.0,
2015-12-01,7507.0,
2015-12-02,7491.0,
2015-12-03,7531.0,
2015-12-04,7592.0,
2015-12-05,7652.0,
2015-12-06,7598.0,
2015-12-07,7466.0,
2015-12-08,7520.0,
2015-12-09,7528.0,
2015-12-10,7551.0,
2015-12-11,7512.0,
2015-12-12,7553.0,
2015-12-13,7557.0,
2015-12-14,7545.0,
2015-12-15,7484.0,
2015-12-16,7534.0,
2015-12-17,7540.0,
2015-12-18,7598.0,
