,price,volume
2015-03-27,19703.0,
2015-03-28,19573.0,
2015-03-29,19620.0,
2015-03-30,19723.0,
2015-03-31,19729.0,
2015-04-01,19649.0,
2015-04-02,19654.0,
2015-04-03,19659.0,
2015-04-04,19671.0,
2015-04-05,19509.0,
2015-04-06,19293.0,
2015-04-07,19029.0,
2015-04-08,19089.0,
2015-04-09,19197.0,
2015-04-10,19203.0,
2015-04-11,19294.0,
2015-04-12,19150.0,
2015-04-13,19192.0,
2015-04-14,19501.0,
2015-04-15,19559.0,
2015-04-16,19725.0,
2015-04-17,19827.0,
2015-04-18,19726.0,
2015-04-19,19604.0,
2015-04-20,19599.0,
2015-04-21,19607.0,
2015-04-22,19697.0,
2015-04-23,19780.0,
2015-04-24,19794.0,
2015-04-25,19790.0,
2015-04-26,19757.0,
2015-04-27,19604.0,
2015-04-28,19726.0,
2015-04-29,19551.0,
2015-04-30,19680.0,
2015-05-01,19834.0,
2015-05-02,19773.0,
2015-05-03,19672.0,
2015-05-04,19627.0,
2015-05-05,19566.0,
2015-05-06,19426.0,
2015-05-07,19531.0,
2015-05-08,19620.0,
2015-05-09,19759.0,
2015-05-10,19666.0,
2015-05-11,19700.0,
2015-05-12,19698.0,
2015-05-13,19777.0,
2015-05-14,19818.0,
2015-05-15,19887.0,
2015-05-16,19780.0,
2015-05-17,19819.0,
2015-05-18,19709.0,
2015-05-19,19897.0,
2015-05-20,19824.0,
2015-05-21,20026.0,
2015-05-22,20145.0,
2015-05-23,20213.0,
2015-05-24,20025.0,
2015-05-25,19745.0,
2015-05-26,19806.0,
2015-05-27,19840.0,
2015-05-28,19830.0,
2015-05-29,19871.0,
2015-05-30,19982.0,
2015-05-31,19907.0,
2015-06-01,19929.0,
2015-06-02,19911.0,
2015-06-03,19788.0,
2015-06-04,19854.0,
2015-06-05,19920.0,
2015-06-06,19947.0,
2015-06-07,19788.0,
2015-06-08,19739.0,
2015-06-09,19785.0,
2015-06-10,19865.0,
2015-06-11,19819.0,
2015-06-12,19738.0,
2015-06-13,19831.0,
2015-06-14,19936.0,
2015-06-15,19952.0,
2015-06-16,19956.0,
2015-06-17,19969.0,
2015-06-18,20052.0,
2015-06-19,20065.0,
2015-06-20,20113.0,
2015-06-21,20088.0,
2015-06-22,19911.0,
2015-06-23,19885.0,
2015-06-24,19937.0,
2015-06-25,19849.0,
2015-06-26,20027.0,
2015-06-27,19973.0,
2015-06-28,19778.0,
2015-06-29,19849.0,
2015-06-30,19865.0,
2015-07-01,19825.0,
2015-07-02,19922.0,
2015-07-03,19765.0,
2015-07-04,19683.0,
2015-07-05,19157.0,
2015-07-06,19074.0,
2015-07-07,19419.0,
2015-07-08,19488.0,
2015-07-09,19555.0,
2015-07-10,19493.0,
2015-07-11,19592.0,
2015-07-12,19564.0,
2015-07-13,19488.0,
2015-07-14,19581.0,
2015-07-15,19651.0,
2015-07-16,19763.0,
2015-07-17,19975.0,
2015-07-18,20168.0,
2015-07-19,20292.0,
2015-07-20,20083.0,
2015-07-21,20322.0,
2015-07-22,20470.0,
2015-07-23,20665.0,
2015-07-24,20054.0,
2015-07-25,20021.0,
2015-07-26,19705.0,
2015-07-27,19553.0,
2015-07-28,19630.0,
2015-07-29,19934.0,
2015-07-30,20083.0,
2015-07-31,20203.0,
2015-08-01,20404.0,
2015-08-02,20211.0,
2015-08-03,20334.0,
2015-08-04,20257.0,
2015-08-05,20533.0,
2015-08-06,20607.0,
