,price,volume
2015-03-27,43799.0,
2015-03-28,43365.0,
2015-03-29,43112.0,
2015-03-30,43302.0,
2015-03-31,43162.0,
2015-04-01,43481.0,
2015-04-02,43561.0,
2015-04-03,43701.0,
2015-04-04,43437.0,
2015-04-05,43819.0,
2015-04-06,43323.0,
2015-04-07,43063.0,
2015-04-08,43606.0,
2015-04-09,43523.0,
2015-04-10,43538.0,
2015-04-11,43754.0,
2015-04-12,43796.0,
2015-04-13,43821.0,
2015-04-14,43942.0,
2015-04-15,43127.0,
2015-04-16,43687.0,
2015-04-17,43584.0,
2015-04-18,43910.0,
2015-04-19,43621.0,
2015-04-20,43689.0,
2015-04-21,43379.0,
2015-04-22,43543.0,
2015-04-23,43862.0,
2015-04-24,43784.0,
2015-04-25,43612.0,
2015-04-26,43146.0,
2015-04-27,43355.0,
2015-04-28,43770.0,
2015-04-29,43263.0,
2015-04-30,43146.0,
2015-05-01,42855.0,
2015-05-02,42013.0,
2015-05-03,41808.0,
2015-05-04,41310.0,
2015-05-05,42338.0,
2015-05-06,42712.0,
2015-05-07,43291.0,
2015-05-08,43509.0,
2015-05-09,43201.0,
2015-05-10,43160.0,
2015-05-11,43086.0,
2015-05-12,42984.0,
2015-05-13,42966.0,
2015-05-14,43461.0,
2015-05-15,43483.0,
2015-05-16,43457.0,
2015-05-17,43457.0,
2015-05-18,43582.0,
2015-05-19,43756.0,
2015-05-20,43660.0,
2015-05-21,43668.0,
2015-05-22,43776.0,
2015-05-23,43411.0,
2015-05-24,43250.0,
2015-05-25,42410.0,
2015-05-26,41726.0,
2015-05-27,42600.0,
2015-05-28,43092.0,
2015-05-29,43445.0,
2015-05-30,43481.0,
2015-05-31,43169.0,
2015-06-01,42858.0,
2015-06-02,42085.0,
2015-06-03,41135.0,
2015-06-04,41267.0,
2015-06-05,41732.0,
2015-06-06,42701.0,
2015-06-07,43256.0,
2015-06-08,43542.0,
2015-06-09,43154.0,
2015-06-10,43087.0,
2015-06-11,43029.0,
2015-06-12,42703.0,
2015-06-13,42971.0,
2015-06-14,43464.0,
2015-06-15,44252.0,
2015-06-16,43817.0,
2015-06-17,43314.0,
2015-06-18,43154.0,
2015-06-19,42515.0,
2015-06-20,41841.0,
2015-06-21,42396.0,
2015-06-22,42701.0,
2015-06-23,42597.0,
2015-06-24,43213.0,
2015-06-25,43136.0,
2015-06-26,43652.0,
2015-06-27,43704.0,
2015-06-28,43140.0,
2015-06-29,43220.0,
2015-06-30,43156.0,
2015-07-01,43388.0,
2015-07-02,43724.0,
2015-07-03,43678.0,
2015-07-04,43736.0,
2015-07-05,43576.0,
2015-07-06,42692.0,
2015-07-07,42971.0,
2015-07-08,43244.0,
2015-07-09,43806.0,
2015-07-10,44064.0,
2015-07-11,44297.0,
2015-07-12,43732.0,
2015-07-13,43828.0,
2015-07-14,43542.0,
2015-07-15,42901.0,
2015-07-16,42637.0,
2015-07-17,43034.0,
2015-07-18,43440.0,
2015-07-19,43641.0,
2015-07-20,43639.0,
2015-07-21,43869.0,
2015-07-22,43809.0,
2015-07-23,44248.0,
2015-07-24,44091.0,
2015-07-25,43908.0,
2015-07-26,43263.0,
2015-07-27,42915.0,
2015-07-28,42962.0,
2015-07-29,42914.0,
2015-07-30,43358.0,
2015-07-31,43740.0,
2015-08-01,43637.0,
2015-08-02,43460.0,
2015-08-03,43182.0,
2015-08-04,42605.0,
2015-08-05,42867.0,
2015-08-06,42924.0,
2015-08-07,43868.0,
2015-08-08,43916.0,
2015-08-09,43877.0,
2015-08-10,43468.0,
2015-08-11,43707.0,
2015-08-12,44269.0,
2015-08-13,43988.0,
2015-08-14,43826.0,
2015-08-15,43943.0,
2015-08-16,43648.0,
2015-08-17,43538.0,
2015-08-18,43704.0,
2015-08-19,43975.0,
2015-08-20,44244.0,
2015-08-21,43714.0,
2015-08-22,43319.0,
2015-08-23,43084.0,
2015-08-24,43395.0,
2015-08-25,43923.0,
2015-08-26,43677.0,
2015-08-27,43566.0,
2015-08-28,43134.0,
2015-08-29,42994.0,
2015-08-30,42521.0,
2015-08-31,42410.0,
2015-09-01,42518.0,
2015-09-02,43126.0,
2015-09-03,43607.0,
2015-09-04,43405.0,
2015-09-05,43366.0,
2015-09-06,43551.0,
2015-09-07,43363.0,
2015-09-08,42690.0,
2015-09-09,43195.0,
2015-09-10,43485.0,
2015-09-11,43626.0,
2015-09-12,42904.0,
2015-09-13,42891.0,
2015-09-14,43316.0,
2015-09-15,43494.0,
2015-09-16,43368.0,
2015-09-17,43485.0,
2015-09-18,43345.0,
2015-09-19,42691.0,
2015-09-20,43159.0,
2015-09-21,43460.0,
2015-09-22,43642.0,
2015-09-23,43450.0,
2015-09-24,43265.0,
2015-09-25,43676.0,
2015-09-26,43544.0,
2015-09-28,44040.0,
2015-09-29,43604.0,
2015-09-30,43129.0,
2015-10-01,43230.0,
2015-10-06,43205.0,
2015-10-07,43481.0,
2015-10-08,43285.0,
2015-10-09,43563.0,
2015-10-10,44018.0,
2015-10-11,44310.0,
2015-10-12,43989.0,
2015-10-13,43462.0,
2015-10-14,42908.0,
2015-10-15,43662.0,
2015-10-16,43889.0,
2015-10-17,43934.0,
2015-10-18,43930.0,
2015-10-19,43742.0,
2015-10-20,43507.0,
2015-10-21,43420.0,
2015-10-23,43650.0,
2015-10-24,43638.0,
2015-10-25,43473.0,
2015-10-26,43276.0,
2015-10-27,43407.0,
2015-10-28,43633.0,
2015-10-30,44438.0,
2015-10-31,44334.0,
2015-11-01,44183.0,
2015-11-02,44216.0,
2015-11-03,44074.0,
2015-11-04,43636.0,
2015-11-05,43467.0,
2015-11-06,43943.0,
2015-11-07,43815.0,
2015-11-08,43915.0,
2015-11-09,43865.0,
2015-11-10,43937.0,
2015-11-11,44240.0,
2015-11-12,44336.0,
2015-11-13,44506.0,
2015-11-14,44133.0,
2015-11-15,44341.0,
2015-11-16,44329.0,
2015-11-17,44224.0,
2015-11-18,44082.0,
2015-11-19,43840.0,
2015-11-20,43980.0,
2015-11-21,44303.0,
2015-11-22,44264.0,
2015-11-23,43932.0,
2015-11-24,43578.0,
2015-11-25,43786.0,
2015-11-26,44035.0,
2015-11-27,44224.0,
2015-11-28,44248.0,
2015-11-29,43870.0,
2015-11-30,44046.0,
2015-12-01,43673.0,
2015-12-02,43512.0,
2015-12-03,43472.0,
2015-12-04,43765.0,
2015-12-05,43954.0,
2015-12-06,44158.0,
2015-12-07,43830.0,
2015-12-08,43590.0,
2015-12-09,43378.0,
2015-12-10,43495.0,
2015-12-11,43717.0,
2015-12-12,43840.0,
2015-12-13,43807.0,
2015-12-14,43523.0,
2015-12-15,43536.0,
2015-12-16,43729.0,
2015-12-17,43971.0,
2015-12-18,44114.0,
2015-12-19,44065.0,
2015-12-20,44060.0,
2015-12-21,44069.0,
2015-12-22,44191.0,
2015-12-23,44460.0,
2015-12-24,44254.0,
2015-12-25,43986.0,
2015-12-26,44080.0,
2015-12-27,44259.0,
2015-12-28,44430.0,
2015-12-29,44478.0,
2015-12-30,44255.0,
2015-12-31,44278.0,
2016-01-01,44395.0,
2016-01-02,44470.0,
2016-01-03,44220.0,
2016-01-04,44423.0,
2016-01-05,44246.0,
2016-01-06,44416.0,
2016-01-07,43784.0,
2016-01-08,43771.0,
2016-01-09,43590.0,
2016-01-10,43397.0,
2016-01-11,43791.0,
2016-01-12,43861.0,
2016-01-13,43910.0,
2016-01-14,43553.0,
2016-01-15,43889.0,
2016-01-16,43861.0,
2016-01-17,43685.0,
2016-01-18,43706.0,
2016-01-19,43811.0,
2016-01-20,43595.0,
2016-01-21,43960.0,
2016-01-22,44143.0,
2016-01-23,44117.0,
2016-01-24,43684.0,
2016-01-25,42569.0,
2016-01-26,42658.0,
2016-01-27,42419.0,
2016-01-28,42503.0,
2016-01-29,42971.0,
2016-01-30,43259.0,
2016-01-31,43392.0,
2016-02-01,43836.0,
2016-02-02,43419.0,
2016-02-03,43351.0,
2016-02-04,43395.0,
2016-02-05,43038.0,
2016-02-06,42569.0,
2016-02-07,43085.0,
2016-02-08,43446.0,
2016-02-09,43650.0,
2016-02-10,43597.0,
2016-02-11,43637.0,
2016-02-12,43420.0,
2016-02-13,43578.0,
2016-02-14,43400.0,
2016-02-15,43332.0,
2016-02-16,43267.0,
2016-02-17,43265.0,
2016-02-18,43350.0,
2016-02-19,43235.0,
2016-02-20,43346.0,
2016-02-21,43504.0,
2016-02-22,43403.0,
2016-02-23,43168.0,
2016-02-24,43260.0,
2016-02-25,43463.0,
2016-02-26,43631.0,
2016-02-27,43643.0,
2016-02-28,43746.0,
2016-02-29,43982.0,
2016-03-01,43766.0,
2016-03-02,43743.0,
2016-03-03,43435.0,
2016-03-04,43251.0,
2016-03-05,43486.0,
2016-03-06,43566.0,
2016-03-07,43481.0,
2016-03-08,43859.0,
2016-03-09,43545.0,
2016-03-10,43735.0,
2016-03-11,43675.0,
2016-03-12,43950.0,
2016-03-13,43884.0,
2016-03-14,43260.0,
2016-03-15,43149.0,
2016-03-16,43362.0,
2016-03-17,43361.0,
2016-03-18,43357.0,
2016-03-19,42373.0,
2016-03-20,42704.0,
2016-03-21,43181.0,
2016-03-22,43537.0,
2016-03-23,43816.0,
2016-03-24,43820.0,
2016-03-25,43920.0,
2016-03-26,43666.0,
2016-03-27,43514.0,
2016-03-28,43384.0,
2016-03-29,43337.0,
2016-03-30,43313.0,
2016-03-31,43376.0,
2016-04-01,43497.0,
2016-04-02,43220.0,
2016-04-03,43096.0,
2016-04-04,43288.0,
2016-04-05,43547.0,
2016-04-06,43298.0,
2016-04-07,43099.0,
2016-04-08,42976.0,
2016-04-09,43273.0,
2016-04-10,43553.0,
2016-04-11,43753.0,
2016-04-12,43707.0,
2016-04-13,43784.0,
2016-04-14,43920.0,
2016-04-15,43750.0,
2016-04-16,43573.0,
2016-04-17,43088.0,
2016-04-18,42187.0,
2016-04-19,42801.0,
2016-04-20,43104.0,
2016-04-21,43228.0,
2016-04-22,43015.0,
2016-04-23,42574.0,
2016-04-24,42596.0,
2016-04-25,42618.0,
2016-04-26,42693.0,
2016-04-27,42075.0,
2016-04-28,42452.0,
2016-04-29,42705.0,
2016-04-30,42687.0,
2016-05-01,42897.0,
2016-05-02,42832.0,
2016-05-03,42746.0,
2016-05-04,42934.0,
2016-05-05,42608.0,
2016-05-06,42391.0,
2016-05-07,42414.0,
2016-05-08,42098.0,
2016-05-09,42103.0,
2016-05-10,42465.0,
2016-05-11,42589.0,
2016-05-12,42886.0,
2016-05-13,43128.0,
2016-05-14,43290.0,
2016-05-15,43548.0,
2016-05-16,43883.0,
2016-05-17,43724.0,
2016-05-18,43357.0,
2016-05-19,43512.0,
2016-05-20,43176.0,
