,price,volume
2015-03-05,628.0,
2015-03-06,596.0,
2015-03-07,566.0,
2015-03-08,537.0,
2015-03-09,511.0,
2015-03-10,491.0,
2015-03-11,470.0,
2015-03-12,451.0,
2015-03-13,457.0,
2015-03-14,455.0,
2015-03-15,459.0,
2015-03-16,460.0,
2015-03-17,462.0,
2015-03-18,473.0,
2015-03-19,489.0,
2015-03-20,479.0,
2015-03-21,471.0,
2015-03-22,485.0,
2015-03-23,504.0,
2015-03-24,527.0,
2015-03-25,544.0,
2015-03-26,553.0,
2015-03-27,564.0,
2015-03-28,561.0,
2015-03-29,545.0,
2015-03-30,530.0,
2015-03-31,515.0,
2015-04-01,526.0,
2015-04-02,534.0,
2015-04-03,540.0,
2015-04-04,542.0,
2015-04-05,548.0,
2015-04-06,565.0,
2015-04-07,566.0,
2015-04-08,587.0,
2015-04-09,614.0,
2015-04-10,639.0,
2015-04-11,661.0,
2015-04-12,679.0,
2015-04-13,692.0,
2015-04-14,675.0,
2015-04-15,667.0,
2015-04-16,653.0,
2015-04-17,654.0,
2015-04-18,646.0,
2015-04-19,645.0,
2015-04-20,641.0,
2015-04-21,623.0,
2015-04-22,614.0,
2015-04-23,608.0,
2015-04-24,629.0,
2015-04-25,650.0,
2015-04-26,650.0,
2015-04-27,667.0,
2015-04-28,700.0,
2015-04-29,735.0,
2015-04-30,771.0,
2015-05-01,809.0,
2015-05-02,791.0,
2015-05-03,769.0,
2015-05-04,747.0,
2015-05-05,744.0,
2015-05-06,725.0,
2015-05-07,706.0,
2015-05-08,692.0,
2015-05-09,689.0,
2015-05-10,680.0,
2015-05-11,685.0,
2015-05-12,702.0,
2015-05-13,709.0,
2015-05-14,731.0,
2015-05-15,766.0,
2015-05-16,802.0,
2015-05-17,837.0,
2015-05-18,862.0,
2015-05-19,866.0,
2015-05-20,893.0,
2015-05-21,909.0,
2015-05-22,892.0,
2015-05-23,850.0,
2015-05-24,807.0,
2015-05-25,774.0,
2015-05-26,740.0,
2015-05-27,714.0,
2015-05-28,727.0,
2015-05-29,754.0,
2015-05-30,786.0,
2015-05-31,795.0,
2015-06-01,797.0,
2015-06-02,806.0,
2015-06-03,837.0,
2015-06-04,850.0,
2015-06-05,865.0,
2015-06-06,901.0,
2015-06-07,928.0,
2015-06-08,958.0,
2015-06-09,989.0,
2015-06-10,1011.0,
2015-06-11,998.0,
2015-06-12,983.0,
2015-06-13,983.0,
2015-06-14,954.0,
2015-06-15,921.0,
2015-06-16,916.0,
2015-06-17,916.0,
2015-06-18,921.0,
2015-06-19,916.0,
2015-06-20,910.0,
2015-06-21,931.0,
2015-06-22,918.0,
2015-06-23,889.0,
2015-06-24,883.0,
2015-06-25,876.0,
2015-06-26,864.0,
2015-06-27,871.0,
2015-06-28,868.0,
2015-06-29,858.0,
2015-06-30,826.0,
2015-07-01,850.0,
2015-07-02,870.0,
2015-07-03,866.0,
2015-07-04,869.0,
2015-07-05,866.0,
2015-07-06,841.0,
2015-07-07,822.0,
2015-07-08,806.0,
2015-07-09,794.0,
2015-07-10,765.0,
2015-07-11,786.0,
2015-07-12,811.0,
2015-07-13,788.0,
2015-07-14,805.0,
2015-07-15,814.0,
2015-07-16,847.0,
2015-07-17,853.0,
2015-07-18,884.0,
2015-07-19,900.0,
2015-07-20,886.0,
2015-07-21,855.0,
2015-07-22,843.0,
2015-07-23,840.0,
2015-07-24,861.0,
2015-07-25,888.0,
2015-07-26,908.0,
2015-07-27,943.0,
2015-07-28,969.0,
2015-07-29,985.0,
2015-07-30,1001.0,
2015-07-31,1032.0,
2015-08-01,1013.0,
2015-08-02,981.0,
2015-08-03,970.0,
2015-08-04,930.0,
2015-08-05,922.0,
2015-08-06,924.0,
2015-08-07,951.0,
2015-08-08,926.0,
2015-08-09,927.0,
